date,title,artist,current,previous,peak,weeks,new
1992-12-26,"The Bodyguard","Whitney Houston",1,1,1,4,False
1992-12-26,"Home For Christmas","Amy Grant",2,5,2,10,False
1992-12-26,"Timeless  (The Classics)","Michael Bolton",3,2,1,11,False
1992-12-26,"The Chase","Garth Brooks",4,3,1,12,False
1992-12-26,"Some Gave All","Billy Ray Cyrus",5,4,1,30,False
1992-12-26,"Unplugged","Eric Clapton",6,6,2,16,False
1992-12-26,"A Very Special Christmas 2","Various Artists",7,7,7,7,False
1992-12-26,"The Christmas Album","Neil Diamond",8,8,8,10,False
1992-12-26,"Breathless","Kenny G",9,9,8,4,False
1992-12-26,"Beyond The Season","Garth Brooks",10,10,2,16,False
1992-12-26,"Pure Country (Soundtrack)","George Strait",11,11,6,13,False
1992-12-26,"Automatic For The People","R.E.M.",12,14,2,10,False
1992-12-26,"Ten","Pearl Jam",13,15,2,52,False
1992-12-26,"Love Deluxe","Sade",14,13,3,6,False
1992-12-26,"Greatest Hits","Gloria Estefan",15,16,15,6,False
1992-12-26,"Aladdin: Special Edition","Soundtrack",16,22,16,5,False
1992-12-26,"Totally Krossed Out","Kris Kross",17,18,1,37,False
1992-12-26,"The Predator","Ice Cube",18,12,1,4,False
1992-12-26,"Brand New Man","Brooks & Dunn",19,20,11,55,False
1992-12-26,"What's The 411?","Mary J. Blige",20,17,6,20,False
1992-12-26,"Bobby","Bobby Brown",21,19,2,16,False
1992-12-26,"Harvest Moon","Neil Young",22,44,16,7,False
1992-12-26,"No Fences","Garth Brooks",23,26,3,119,False
1992-12-26,"Ooooooohhh. . .On The TLC Tip","TLC",24,30,14,42,False
1992-12-26,"Erotica","Madonna",25,21,2,8,False
1992-12-26,"3 Years 5 Months & 2 Days In The Life Of . . .","Arrested Development",26,35,13,37,False
1992-12-26,"Funky Divas","En Vogue",27,23,8,38,False
1992-12-26,"Hard Or Smooth","Wreckx-N-Effect",28,24,21,3,False
1992-12-26,"The One","Elton John",29,27,8,25,False
1992-12-26,"Cooleyhighharmony","Boyz II Men",30,40,3,83,False
1992-12-26,"Ropin' The Wind","Garth Brooks",31,33,1,66,False
1992-12-26,"25","Harry Connick, Jr.",32,36,32,3,False
1992-12-26,"Metallica","Metallica",33,29,1,70,False
1992-12-26,"I Still Believe In You","Vince Gill",34,28,10,15,False
1992-12-26,"Live: The Way We Walk Volume 1","Genesis",35,39,35,4,False
1992-12-26,"Boomerang","Soundtrack",36,32,4,24,False
1992-12-26,"Wynonna","Wynonna",37,34,4,37,False
1992-12-26,"Chipmunks In Low Places","Alvin And The Chipmunks",38,31,31,10,False
1992-12-26,"A Lot About Livin' (And A Little 'Bout Love)","Alan Jackson",39,37,22,10,False
1992-12-26,"Keep The Faith","Bon Jovi",40,25,5,6,False
1992-12-26,"Pocket Full Of Kryptonite","Spin Doctors",41,38,26,26,False
1992-12-26,"Greatest Hits","Queen",42,41,11,39,False
1992-12-26,"Live","AC/DC",43,42,15,7,False
1992-12-26,"Time, Love And Tenderness","Michael Bolton",44,43,1,86,False
1992-12-26,"House Of Pain","House Of Pain",45,47,14,20,False
1992-12-26,"Achtung Baby","U2",46,49,1,56,False
1992-12-26,"Beauty And The Beast","Soundtrack",47,45,19,56,False
1992-12-26,"Dirt","Alice In Chains",48,46,6,11,False
1992-12-26,"What Hits!?","Red Hot Chili Peppers",49,50,22,11,False
1992-12-26,"The Heights","Soundtrack",50,48,40,8,False
1992-12-26,"Can't Run From Yourself","Tanya Tucker",51,51,51,10,False
1992-12-26,"Us","Peter Gabriel",52,55,2,11,False
1992-12-26,"Diva","Annie Lennox",53,53,23,31,False
1992-12-26,"Adrenalize","Def Leppard",54,52,1,37,False
1992-12-26,"Sister Act","Soundtrack",55,57,40,27,False
1992-12-26,"Seminole Wind","John Anderson",56,54,35,44,False
1992-12-26,"Use Your Illusion I","Guns N' Roses",57,61,2,65,False
1992-12-26,"American Pride","Alabama",58,56,46,18,False
1992-12-26,"A Romantic Christmas","John Tesh",59,80,59,3,False
1992-12-26,"Garth Brooks","Garth Brooks",60,63,13,138,False
1992-12-26,"Hearts In Armor","Trisha Yearwood",61,60,46,15,False
1992-12-26,"Come On Come On","Mary Chapin Carpenter",62,65,31,24,False
