chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2021-04-24,1,Fearless (Taylor's Version),Taylor Swift,-,1,1
2021-04-24,2,The Best Of DMX,DMX,73,2,8
2021-04-24,3,Justice,Justin Bieber,1,1,4
2021-04-24,4,Dangerous: The Double Album,Morgan Wallen,4,1,14
2021-04-24,5,SoulFly,Rod Wave,3,1,3
2021-04-24,6,Positions,Ariana Grande,17,1,24
2021-04-24,7,The Highlights,The Weeknd,6,2,10
2021-04-24,8,Destined 2 Win,Lil Tjay,5,5,2
2021-04-24,9,Shoot For The Stars Aim For The Moon,Pop Smoke,7,1,41
2021-04-24,10,Future Nostalgia,Dua Lipa,9,3,54
2021-04-24,11,"Roadrunner: New Light, New Machine",BrockHampton,-,11,1
2021-04-24,12,My Turn,Lil Baby,11,1,59
2021-04-24,13,Dancing With The Devil...The Art Of Starting Over,Demi Lovato,2,2,2
2021-04-24,14,What You See Is What You Get,Luke Combs,10,1,75
2021-04-24,15,Shiesty Season,Pooh Shiesty,12,3,10
2021-04-24,16,Legends Never Die,Juice WRLD,16,1,40
2021-04-24,17,When It's All Said And Done... Take Time,Giveon,15,5,5
2021-04-24,18,Hollywood's Bleeding,Post Malone,14,1,84
2021-04-24,19,The GOAT,Polo G,21,2,48
2021-04-24,20,El Ultimo Tour del Mundo,Bad Bunny,24,1,20
2021-04-24,21,The Voice,Lil Durk,13,2,17
2021-04-24,22,Fine Line,Harry Styles,18,1,70
2021-04-24,23,Born Here Live Here Die Here,Luke Bryan,194,5,25
2021-04-24,24,Good News,Megan Thee Stallion,19,2,21
2021-04-24,25,F*ck Love,The Kid LAROI,23,3,38
2021-04-24,26,Greatest Hits,Queen,22,8,434
2021-04-24,27,YHLQMDLG,Bad Bunny,36,2,59
2021-04-24,28,Goodbye & Good Riddance,Juice WRLD,28,4,152
2021-04-24,29,Evermore,Taylor Swift,33,1,18
2021-04-24,30,Hot Pink,Doja Cat,25,9,76
2021-04-24,31,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,20,1,107
