chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-03-05,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,9
2022-03-05,2,Heat Waves,Glass Animals,2,2,58
2022-03-05,3,abcdefu,GAYLE,4,3,14
2022-03-05,4,Easy On Me,Adele,3,1,20
2022-03-05,5,Super Gremlin,Kodak Black,6,5,16
2022-03-05,6,Stay,The Kid LAROI & Justin Bieber,5,1,33
2022-03-05,7,Ghost,Justin Bieber,8,7,22
2022-03-05,8,Shivers,Ed Sheeran,7,4,24
2022-03-05,9,Bad Habits,Ed Sheeran,14,2,35
2022-03-05,10,Cold Heart (PNAU Remix),Elton John & Dua Lipa,12,7,25
2022-03-05,11,Thats What I Want,Lil Nas X,9,9,23
2022-03-05,12,Need To Know,Doja Cat,13,8,37
2022-03-05,13,Surface Pressure,Jessica Darrow,11,8,9
2022-03-05,14,Pushin P,Gunna & Future Featuring Young Thug,10,7,7
2022-03-05,15,Industry Baby,Lil Nas X & Jack Harlow,17,1,31
2022-03-05,16,Levitating,Dua Lipa,16,2,68
2022-03-05,17,MAMIII,Becky G X Karol G,15,15,2
2022-03-05,18,Nail Tech,Jack Harlow,-,18,1
2022-03-05,19,Save Your Tears,The Weeknd & Ariana Grande,18,1,60
2022-03-05,20,Enemy,Imagine Dragons X JID,27,20,14
2022-03-05,21,Big Energy,Latto,25,21,18
2022-03-05,22,One Right Now,Post Malone & The Weeknd,22,6,16
2022-03-05,23,Hrs And Hrs,Muni Long,19,16,9
2022-03-05,24,Woman,Doja Cat,26,24,30
2022-03-05,25,'Til You Can't,Cody Johnson,33,25,20
2022-03-05,26,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",24,20,8
2022-03-05,27,Good 4 U,Olivia Rodrigo,30,1,41
2022-03-05,28,I Hate U,SZA,28,7,12
2022-03-05,29,Light Switch,Charlie Puth,48,29,5
2022-03-05,30,Sand In My Boots,Morgan Wallen,38,30,32
2022-03-05,31,Buy Dirt,Jordan Davis Featuring Luke Bryan,39,22,29
2022-03-05,32,Knife Talk,Drake Featuring 21 Savage & Project Pat,31,4,25
2022-03-05,33,You Right,Doja Cat & The Weeknd,45,11,34
2022-03-05,34,Love Nwantiti (Ah Ah Ah),CKay,36,26,23
2022-03-05,35,Fancy Like,Walker Hayes,41,3,36
2022-03-05,36,One Mississippi,Kane Brown,54,36,22
2022-03-05,37,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,43,21,24
