chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-04-02,1,Heat Waves,Glass Animals,1,1,62
2022-04-02,2,Stay,The Kid LAROI & Justin Bieber,2,1,37
2022-04-02,3,Super Gremlin,Kodak Black,3,3,20
2022-04-02,4,abcdefu,GAYLE,4,3,18
2022-04-02,5,Ghost,Justin Bieber,6,5,26
2022-04-02,6,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",5,1,13
2022-04-02,7,Enemy,Imagine Dragons X JID,8,7,18
2022-04-02,8,Thats What I Want,Lil Nas X,9,8,27
2022-04-02,9,Woman,Doja Cat,12,9,34
2022-04-02,10,Easy On Me,Adele,7,1,24
2022-04-02,11,Big Energy,Latto,14,11,22
2022-04-02,12,Bad Habits,Ed Sheeran,10,2,39
2022-04-02,13,Shivers,Ed Sheeran,11,4,28
2022-04-02,14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,13,7,29
2022-04-02,15,Need To Know,Doja Cat,16,8,41
2022-04-02,16,Levitating,Dua Lipa,19,2,72
2022-04-02,17,Save Your Tears,The Weeknd & Ariana Grande,17,1,64
2022-04-02,18,'Til You Can't,Cody Johnson,22,18,24
2022-04-02,19,Pushin P,Gunna & Future Featuring Young Thug,20,7,11
2022-04-02,20,One Right Now,Post Malone & The Weeknd,23,6,20
2022-04-02,21,Industry Baby,Lil Nas X & Jack Harlow,21,1,35
2022-04-02,22,What Happened To Virgil,Lil Durk Featuring Gunna,24,22,2
2022-04-02,23,I Hate U,SZA,25,7,16
2022-04-02,24,Hrs And Hrs,Muni Long,27,16,13
2022-04-02,25,Sweetest Pie,Megan Thee Stallion & Dua Lipa,15,15,2
2022-04-02,26,MAMIII,Becky G X Karol G,28,15,6
2022-04-02,27,Good 4 U,Olivia Rodrigo,32,1,45
2022-04-02,28,Ahhh Ha,Lil Durk,18,18,5
2022-04-02,29,Light Switch,Charlie Puth,33,27,9
