chart_date,current_position,title,performer,previous_position,peak_position,weeks_on_chart
2021-12-25,1,All I Want For Christmas Is You,Mariah Carey,2,1,49
2021-12-25,2,Rockin' Around The Christmas Tree,Brenda Lee,3,2,43
2021-12-25,3,Easy On Me,Adele,1,1,10
2021-12-25,4,Jingle Bell Rock,Bobby Helms,6,3,40
2021-12-25,5,A Holly Jolly Christmas,Burl Ives,5,4,24
2021-12-25,6,Stay,The Kid LAROI & Justin Bieber,4,1,23
2021-12-25,7,It's The Most Wonderful Time Of The Year,Andy Williams,10,5,25
2021-12-25,8,Heat Waves,Glass Animals,9,7,48
2021-12-25,9,Last Christmas,Wham!,13,9,23
2021-12-25,10,Industry Baby,Lil Nas X & Jack Harlow,8,1,21
2021-12-25,11,Feliz Navidad,Jose Feliciano,14,6,18
2021-12-25,12,Shivers,Ed Sheeran,11,5,14
2021-12-25,13,Sleigh Ride,The Ronettes,17,13,14
2021-12-25,14,Need To Know,Doja Cat,12,8,27
2021-12-25,15,The Christmas Song (Merry Christmas To You),Nat King Cole,20,11,30
2021-12-25,16,abcdefu,GAYLE,15,15,4
2021-12-25,17,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,18,8,17
2021-12-25,18,Underneath The Tree,Kelly Clarkson,24,12,13
2021-12-25,19,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,21,12,10
2021-12-25,20,Super Gremlin,Kodak Black,23,20,6
2021-12-25,21,Rudolph The Red-Nosed Reindeer,Gene Autry,27,16,15
2021-12-25,22,Happy Holiday / The Holiday Season,Andy Williams,26,18,11
2021-12-25,23,Cold Heart (PNAU Remix),Elton John & Dua Lipa,19,11,15
2021-12-25,24,Santa Tell Me,Ariana Grande,30,17,11
2021-12-25,25,Christmas (Baby Please Come Home),Darlene Love,25,17,10
2021-12-25,26,Bad Habits,Ed Sheeran,16,2,25
2021-12-25,27,White Christmas,Bing Crosby,28,12,23
