date,title,artist,current,previous,peak,weeks,new
1998-12-26,"Double Live","Garth Brooks",1,1,1,4,False
1998-12-26,"These Are Special Times","Celine Dion",2,2,2,6,False
1998-12-26,"'N Sync","'N Sync",3,3,2,38,False
1998-12-26,"Spirit","Jewel",4,4,3,4,False
1998-12-26,"Backstreet Boys","Backstreet Boys",5,8,4,70,False
1998-12-26,"# 1's","Mariah Carey",6,7,4,4,False
1998-12-26,"Home For Christmas","'N Sync",7,9,7,5,False
1998-12-26,"Come On Over","Shania Twain",8,10,2,58,False
1998-12-26,"Americana","The Offspring",9,11,6,4,False
1998-12-26,"Garage Inc.","Metallica",10,5,2,3,False
1998-12-26,"Doc's Da Name 2000","Redman",11,0,11,1,True
1998-12-26,"Vol. 2... Hard Knock Life","JAY-Z",12,12,1,11,False
1998-12-26,"Greatest Hits","2Pac",13,6,5,3,False
1998-12-26,"Wide Open Spaces","Dixie Chicks",14,14,10,46,False
1998-12-26,"Never S-A-Y Never","Brandy",15,13,2,27,False
1998-12-26,"Supposed Former Infatuation Junkie","Alanis Morissette",16,15,1,6,False
1998-12-26,"Stunt","Barenaked Ladies",17,17,3,23,False
1998-12-26,"Big Willie Style","Will Smith",18,21,8,55,False
1998-12-26,"No Limit Soldier Compilation -- We Can't Be Stopped","Various Artists",19,0,19,1,True
1998-12-26,"Chef Aid: The South Park Album","Soundtrack",20,16,16,3,False
1998-12-26,"The Rugrats Movie","Soundtrack",21,20,20,6,False
1998-12-26,"The Miseducation Of Lauryn Hill","Lauryn Hill",22,28,1,16,False
1998-12-26,"My Love Is Your Love","Whitney Houston",23,19,13,4,False
1998-12-26,"Armageddon -- The Album","Soundtrack",24,23,1,25,False
1998-12-26,"The Christmas Angel","Mannheim Steamroller",25,27,25,7,False
1998-12-26,"Dizzy Up The Girl","The Goo Goo Dolls",26,25,15,12,False
1998-12-26,"Now","Various Artists",27,34,21,7,False
1998-12-26,"R.","R. Kelly",28,22,2,5,False
1998-12-26,"Enter The Dru","Dru Hill",29,24,2,7,False
1998-12-26,"City Of Angels","Soundtrack",30,32,1,37,False
1998-12-26,"Tical 2000: Judgement Day","Method Man",31,18,2,4,False
1998-12-26,"It's Dark And Hell Is Hot","DMX",32,31,1,30,False
1998-12-26,"The Best Of 1980-1990/The B-Sides","U2",33,29,2,6,False
1998-12-26,"Faith","Faith Hill",34,33,7,34,False
1998-12-26,"Romanza","Andrea Bocelli",35,35,35,54,False
1998-12-26,"Let's Talk About Love","Celine Dion",36,37,1,56,False
1998-12-26,"Whitey Ford Sings The Blues","Everlast",37,40,37,11,False
1998-12-26,"Live On Two Legs","Pearl Jam",38,26,15,3,False
1998-12-26,"Touched By An Angel: The Album","Soundtrack",39,38,16,6,False
1998-12-26,"The Dirty Boogie","The Brian Setzer Orchestra",40,44,9,25,False
1998-12-26,"Yourself Or Someone Like You","matchbox 20",41,47,5,93,False
1998-12-26,"The Globe Sessions","Sheryl Crow",42,41,5,11,False
1998-12-26,"The Prince Of Egypt","Soundtrack",43,53,43,4,False
1998-12-26,"Breath Of Heaven -- A Christmas Collection","Vince Gill With Patrick Williams And His Orchestra",44,39,39,7,False
1998-12-26,"Hello Nasty","Beastie Boys",45,45,1,22,False
1998-12-26,"My Own Prison","Creed",46,52,22,63,False
1998-12-26,"Dr. Dolittle: The Album","Soundtrack",47,43,4,26,False
1998-12-26,"ESPN Presents: Jock Jams Vol. 4","Various Artists",48,56,20,16,False
1998-12-26,"Hope Floats","Soundtrack",49,42,4,30,False
1998-12-26,"Surfacing","Sarah McLachlan",50,75,2,74,False
1998-12-26,"Third Eye Blind","Third Eye Blind",51,54,25,88,False
1998-12-26,"The Movie Album: As Time Goes By","Neil Diamond",52,60,31,7,False
1998-12-26,"War & Peace Vol. I (The War Disc)","Ice Cube",53,30,7,4,False
1998-12-26,"Follow The Leader","Korn",54,57,1,17,False
1998-12-26,"Hellbilly Deluxe","Rob Zombie",55,50,5,16,False
1998-12-26,"98 Degrees And Rising","98 Degrees",56,63,56,7,False
1998-12-26,"Spiceworld","Spice Girls",57,67,3,58,False
1998-12-26,"WoW-1999: The Year's 30 Top Christian Artists And Songs","Various Artists",58,55,51,8,False
1998-12-26,"VH1 Divas Live","Celine Dion, Gloria Estefan, Aretha Franklin, Shania Twain & Mariah Carey",59,58,21,10,False
1998-12-26,"Chicago 25","Chicago",60,49,47,5,False
1998-12-26,"So Much For The Afterglow","Everclear",61,73,33,62,False
1998-12-26,"All Saints","All Saints",62,62,40,37,False
1998-12-26,"Aquemini","OutKast",63,48,2,11,False
1998-12-26,"Spice","Spice Girls",64,74,1,97,False
1998-12-26,"For The Record: 41 Number One Hits","Alabama",65,64,13,16,False
1998-12-26,"Desireless","Eagle-Eye Cherry",66,72,45,19,False
1998-12-26,"Ray Of Light","Madonna",67,69,2,41,False
1998-12-26,"Eve 6","Eve 6",68,76,33,27,False
1998-12-26,"The Nu Nation Project","Kirk Franklin",69,51,7,11,False
1998-12-26,"The Best Of 1980-1990","U2",70,70,45,5,False
1998-12-26,"Soul's Core","Shawn Mullins",71,77,54,13,False
1998-12-26,"Titanic","Soundtrack",72,80,1,53,False
