date,title,artist,current,previous,peak,weeks,new
2004-12-25,"The Red Light District","Ludacris",1,0,1,1,True
2004-12-25,"How To Dismantle An Atomic Bomb","U2",2,2,1,3,False
2004-12-25,"Encore","Eminem",3,4,1,5,False
2004-12-25,"Speak","Lindsay Lohan",4,0,4,1,True
2004-12-25,"Now 17","Various Artists",5,8,1,6,False
2004-12-25,"Greatest Hits","Shania Twain",6,6,2,5,False
2004-12-25,"Destiny Fulfilled","Destiny's Child",7,9,2,5,False
2004-12-25,"Greatest Hits 2","Toby Keith",8,10,3,5,False
2004-12-25,"MTV Ultimate Mash-Ups Presents: Collision Course","Jay-Z/Linkin Park",9,1,1,2,False
2004-12-25,"Merry Christmas With Love","Clay Aiken",10,13,4,4,False
2004-12-25,"Confessions","Usher",11,11,1,38,False
2004-12-25,"Breakaway","Kelly Clarkson",12,3,3,2,False
2004-12-25,"Turning Point","Mario",13,0,13,1,True
2004-12-25,"Crunk Juice","Lil Jon & The East Side Boyz",14,12,3,5,False
2004-12-25,"American Idiot","Green Day",15,26,1,12,False
2004-12-25,"50 Number Ones","George Strait",16,19,1,10,False
2004-12-25,"Suit","Nelly",17,17,1,13,False
2004-12-25,"Live Like You Were Dying","Tim McGraw",18,18,1,16,False
2004-12-25,"Love. Angel. Music. Baby.","Gwen Stefani",19,15,7,3,False
2004-12-25,"Purple Haze","Cam'ron",20,0,20,1,True
2004-12-25,"Hilary Duff","Hilary Duff",21,22,2,11,False
2004-12-25,"Genius Loves Company","Ray Charles",22,23,2,15,False
2004-12-25,"Here For The Party","Gretchen Wilson",23,25,2,31,False
2004-12-25,"Christmas Celebration","Mannheim Steamroller",24,20,19,9,False
2004-12-25,"R&G (Rhythm & Gangsta): The Masterpiece","Snoop Dogg",25,16,6,4,False
2004-12-25,"Stardust... The Great American Songbook Vol. III","Rod Stewart",26,27,1,8,False
2004-12-25,"Rejoyce: The Christmas Album","Jessica Simpson",27,14,14,3,False
2004-12-25,"Urban Legend","T.I.",28,7,7,2,False
2004-12-25,"Songs About Jane","Maroon 5",29,34,6,83,False
2004-12-25,"The Lost Christmas Eve","Trans-Siberian Orchestra",30,31,26,9,False
2004-12-25,"Live At The Greek","Josh Groban",31,24,24,2,False
2004-12-25,"Feels Like Today","Rascal Flatts",32,33,1,11,False
2004-12-25,"Autobiography","Ashlee Simpson",33,42,1,21,False
2004-12-25,"Free Yourself","Fantasia",34,21,8,3,False
2004-12-25,"Under My Skin","Avril Lavigne",35,39,1,29,False
2004-12-25,"Ray (Soundtrack)","Ray Charles",36,32,9,8,False
2004-12-25,"Street's Disciple","Nas",37,5,5,2,False
2004-12-25,"Goodies","Ciara",38,38,3,11,False
2004-12-25,"Greatest Hits","Creed",39,28,15,3,False
2004-12-25,"Greatest Hits: My Prerogative","Britney Spears",40,30,4,5,False
2004-12-25,"Still Not Getting Any...","Simple Plan",41,36,3,7,False
2004-12-25,"Andrea","Andrea Bocelli",42,35,16,5,False
2004-12-25,"Horse Of A Different Color","Big & Rich",43,41,6,32,False
2004-12-25,"Closer","Josh Groban",44,51,1,57,False
2004-12-25,"Lonely Runs Both Ways","Alison Krauss + Union Station",45,37,29,3,False
2004-12-25,"With The Lights Out","Nirvana",46,40,19,3,False
2004-12-25,"The Beautiful Letdown","Switchfoot",47,45,16,90,False
2004-12-25,"Contraband","Velvet Revolver",48,48,1,27,False
2004-12-25,"The Chronicles Of Life And Death","Good Charlotte",49,54,3,10,False
2004-12-25,"When The Sun Goes Down","Kenny Chesney",50,49,1,45,False
2004-12-25,"JoJo","JoJo",51,53,4,25,False
2004-12-25,"Blue Skies","Diana DeGarmo",52,0,52,1,True
2004-12-25,"R.U.L.E.","Ja Rule",53,46,7,5,False
2004-12-25,"WOW Hits 2005","Various Artists",54,62,39,10,False
2004-12-25,"Hot Fuss","The Killers",55,67,26,26,False
2004-12-25,"Now 16","Various Artists",56,50,1,20,False
2004-12-25,"Sweat","Nelly",57,52,2,13,False
2004-12-25,"Miracle","Celine Dion",58,56,4,9,False
2004-12-25,"Los Lonely Boys","Los Lonely Boys",59,59,9,42,False
2004-12-25,"At Last... The Duets Album","Kenny G",60,44,40,3,False
2004-12-25,"Greatest Hits Vol. I","Korn",61,55,4,10,False
2004-12-25,"Powerballin'","Chingy",62,47,10,5,False
2004-12-25,"Feels Like Home","Norah Jones",63,68,1,44,False
2004-12-25,"The Polar Express","Soundtrack",64,58,46,6,False
2004-12-25,"Be Here","Keith Urban",65,63,3,12,False
2004-12-25,"Mud On The Tires","Brad Paisley",66,61,8,73,False
2004-12-25,"I Need An Angel","Ruben Studdard",67,43,20,3,False
2004-12-25,"Greatest Hits","Guns N' Roses",68,65,3,38,False
2004-12-25,"The Diary Of Alicia Keys","Alicia Keys",69,69,1,54,False
2004-12-25,"Number Ones","Bee Gees",70,72,23,5,False
2004-12-25,"rearviewmirror: Greatest Hits 1991-2003","Pearl Jam",71,60,16,4,False
2004-12-25,"The Greatest Hits Collection II","Brooks & Dunn",72,80,7,8,False
2004-12-25,"Heavier Things","John Mayer",73,91,1,64,False
2004-12-25,"Elephunk","The Black Eyed Peas",74,78,14,77,False
2004-12-25,"Anywhere But Home","Evanescence",75,57,39,3,False
2004-12-25,"Greatest Hits","Neil Young",76,70,27,4,False
2004-12-25,"Shrek 2","Soundtrack",77,73,8,31,False
2004-12-25,"What I Do","Alan Jackson",78,86,1,14,False
2004-12-25,"Barenaked For The Holidays","Barenaked Ladies",79,64,64,5,False
2004-12-25,"Take It All Away","Ryan Cabrera",80,84,8,17,False
2004-12-25,"Ocean Avenue","Yellowcard",81,83,23,70,False
2004-12-25,"Blue Collar Comedy Tour Rides Again","Soundtrack",82,66,50,3,False
2004-12-25,"License To Chill","Jimmy Buffett",83,79,1,22,False
2004-12-25,"When I Fall In Love","Chris Botti",84,75,37,10,False
2004-12-25,"The SpongeBob SquarePants Movie","Soundtrack",85,76,76,5,False
2004-12-25,"Thug Matrimony: Married To The Streets","Trick Daddy",86,71,2,7,False
2004-12-25,"The Christmas Collection","Frank Sinatra",87,87,87,5,False
2004-12-25,"Meteora","Linkin Park",88,88,1,90,False
2004-12-25,"Come Away With Me","Norah Jones",89,97,1,146,False
2004-12-25,"A Very Larry Christmas","Larry The Cable Guy",90,77,43,4,False
2004-12-25,"Words & Music: John Mellencamp's Greatest Hits","John Mellencamp",91,90,13,8,False
2004-12-25,"Healing Rain","Michael W. Smith",92,95,11,7,False
2004-12-25,"Beautiful Soul","Jesse McCartney",93,111,50,11,False
2004-12-25,"As Time Goes By ... The Great American Songbook Vol. II","Rod Stewart",94,98,2,47,False
2004-12-25,"Motown Two","Michael McDonald",95,82,9,7,False
2004-12-25,"The Princess Diaries 2: Royal Engagement","Soundtrack",96,124,15,19,False
2004-12-25,"We Are Not Alone","Breaking Benjamin",97,94,20,24,False
2004-12-25,"In This Skin","Jessica Simpson",98,100,2,69,False
2004-12-25,"Futures","Jimmy Eat World",99,92,6,8,False
2004-12-25,"Do I Speak For The World","Gerald Levert",100,29,29,2,False
2004-12-25,"Real Talk","Fabolous",101,74,6,5,False
2004-12-25,"Peachtree Road","Elton John",102,96,17,5,False
2004-12-25,"Dino: The Essential Dean Martin","Dean Martin",103,115,28,28,False
2004-12-25,"The Capitol Albums Vol. 1","The Beatles",104,103,35,4,False
2004-12-25,"Fallen","Evanescence",105,107,3,93,False
2004-12-25,"Blake Shelton's Barn & Grill","Blake Shelton",106,101,20,7,False
2004-12-25,"Chariot - Stripped","Gavin DeGraw",107,118,56,20,False
2004-12-25,"Martina","Martina McBride",108,108,7,63,False
2004-12-25,"Chris Isaak Christmas","Chris Isaak",109,123,109,4,False
2004-12-25,"MMHMM","Relient K",110,109,15,6,False
2004-12-25,"Shock'n Y'All","Toby Keith",111,105,1,58,False
2004-12-25,"Metamorphosis","Hilary Duff",112,133,1,67,False
2004-12-25,"Mind Body & Soul","Joss Stone",113,128,11,11,False
2004-12-25,"Restless","Sara Evans",114,106,20,40,False
2004-12-25,"Kidz Bop 6","Kidz Bop Kids",115,113,23,18,False
2004-12-25,"Good News For People Who Love Bad News","Modest Mouse",116,139,18,36,False
2004-12-25,"The Dana Owens Album","Queen Latifah",117,104,16,11,False
2004-12-25,"Three Cheers For Sweet Revenge","My Chemical Romance",118,119,99,14,False
2004-12-25,"A Hangover You Don't Deserve","Bowling For Soup",119,126,37,13,False
2004-12-25,"Franz Ferdinand","Franz Ferdinand",120,131,32,38,False
2004-12-25,"Let's Be Us Again","Lonestar",121,129,14,29,False
2004-12-25,"Jump Back: The Best Of The Rolling Stones: '71-'93","The Rolling Stones",122,146,30,16,False
2004-12-25,"eMOTIVe","A Perfect Circle",123,93,2,6,False
2004-12-25,"The Reason","Hoobastank",124,140,3,53,False
2004-12-25,"Best: 1991 - 2004","Seal",125,99,47,5,False
2004-12-25,"Casting Crowns","Casting Crowns",126,143,59,51,False
2004-12-25,"Restored","Jeremy Camp",127,127,45,4,False
2004-12-25,"Silver & Gold","Vanessa Williams",128,120,120,4,False
2004-12-25,"Sounds Of Summer: The Very Best Of The Beach Boys","The Beach Boys",129,144,16,79,False
2004-12-25,"This Type Of Thinking (Could Do Us In)","Chevelle",130,114,8,12,False
2004-12-25,"Chuck","Sum 41",131,130,10,9,False
2004-12-25,"Hopes And Fears","Keane",132,137,53,22,False
2004-12-25,"Crossfade","Crossfade",133,122,109,22,False
2004-12-25,"Welcome To Diverse City","tobyMac",134,164,54,10,False
2004-12-25,"Straight Outta Ca$hville","Young Buck",135,102,3,16,False
2004-12-25,"A Cinderella Story","Soundtrack",136,138,9,22,False
2004-12-25,"Lest We Forget: The Best Of","Marilyn Manson",137,110,9,11,False
2004-12-25,"Dangerously In Love","Beyonce",138,141,1,77,False
2004-12-25,"What A Wonderful World","LeAnn Rimes",139,81,81,6,False
2004-12-25,"Getting Away With Murder","Papa Roach",140,125,17,15,False
2004-12-25,"The Cheetah Girls (EP)","Soundtrack",141,149,33,61,False
2004-12-25,"1.22.03.Acoustic (EP)","Maroon 5",142,155,42,24,False
2004-12-25,"Greatest Hits Volume II","Alan Jackson",143,151,19,52,False
2004-12-25,"Garden State","Soundtrack",144,178,20,18,False
2004-12-25,"Baptism","Lenny Kravitz",145,168,14,24,False
2004-12-25,"This Is My Time","Raven-Symone",146,162,51,11,False
2004-12-25,"The DEFinition","LL Cool J",147,116,4,15,False
2004-12-25,"All Things New","Steven Curtis Chapman",148,177,22,12,False
2004-12-25,"Devotion","newsboys",149,179,56,6,False
2004-12-25,"Unfinished Business","R. Kelly & Jay-Z",150,112,1,7,False
2004-12-25,"Have A Fun Christmas","Various Artists",151,134,134,4,False
2004-12-25,"Diplomatic Immunity 2","The Diplomats",152,89,46,3,False
2004-12-25,"My Brother & Me","Ying Yang Twins",153,132,12,6,False
2004-12-25,"Old Friends: Live On Stage","Simon & Garfunkel",154,174,154,2,False
2004-12-25,"Three Days Grace","Three Days Grace",155,158,69,62,False
2004-12-25,"Get Born","Jet",156,183,26,62,False
2004-12-25,"In Love And Death","The Used",157,159,6,11,False
2004-12-25,"Bridget Jones: The Edge Of Reason","Soundtrack",158,135,72,4,False
2004-12-25,"The College Dropout","Kanye West",159,0,2,42,False
2004-12-25,"Tha Carter","Lil Wayne",160,136,5,24,False
2004-12-25,"Comin' From Where I'm From","Anthony Hamilton",161,145,33,63,False
2004-12-25,"Leave A Whisper","Shinedown",162,166,53,36,False
2004-12-25,"Greatest Hits 1994-2004","Terri Clark",163,185,14,20,False
2004-12-25,"A Windham Hill Christmas: I'll Be Home For Christmas","Various Artists",164,160,155,3,False
2004-12-25,"My Everything","Anita Baker",165,154,4,14,False
2004-12-25,"Radio Disney Jingle Jams","Various Artists",166,152,138,4,False
2004-12-25,"SMiLE","Brian Wilson",167,188,13,11,False
2004-12-25,"The Phantom Of The Opera","Soundtrack",168,180,125,3,False
2004-12-25,"The Long Road","Nickelback",169,181,6,64,False
2004-12-25,"Dierks Bentley","Dierks Bentley",170,182,26,68,False
2004-12-25,"Acoustic","John Lennon",171,173,31,6,False
2004-12-25,"Sessions For Robert J","Eric Clapton",172,0,172,1,True
2004-12-25,"Mexico En La Piel","Luis Miguel",173,148,37,5,False
2004-12-25,"Where You Want To Be","Taking Back Sunday",174,194,3,20,False
2004-12-25,"100,000,000 Bon Jovi Fans Can't Be Wrong...","Bon Jovi",175,175,53,4,False
2004-12-25,"Shimmy Down The Chimney: A Country Christmas","Various Artists",176,153,153,2,False
2004-12-25,"Disney Channel Hits: Take 1","Various Artists",177,192,177,4,False
2004-12-25,"The Rat Pack: Boys Night Out","Frank Sinatra, Dean Martin & Sammy Davis Jr",178,0,49,5,False
2004-12-25,"Ray Charles Celebrates A Gospel Christmas With The Voices Of Jubilation!","Ray Charles",179,121,121,2,False
2004-12-25,"Harmonium","Vanessa Carlton",180,161,33,5,False
2004-12-25,"That's So Raven","Soundtrack",181,198,44,21,False
2004-12-25,"The Very Best Of Sheryl Crow","Sheryl Crow",182,193,2,58,False
2004-12-25,"One Love","New Edition",183,117,12,5,False
2004-12-25,"Ultimate Christmas 2","Various Artists",184,150,150,3,False
2004-12-25,"Disclaimer II","Seether",185,169,53,26,False
2004-12-25,"Trouble","Akon",186,172,38,24,False
2004-12-25,"Passing Through","Randy Travis",187,200,127,5,False
2004-12-25,"Vol. 3: (The Subliminal Verses)","Slipknot",188,199,2,29,False
2004-12-25,"Totally Hits 2004 Vol. 2","Various Artists",189,170,19,10,False
2004-12-25,"Afterglow Live","Sarah McLachlan",190,156,107,3,False
2004-12-25,"Spider-Man 2","Soundtrack",191,184,7,19,False
2004-12-25,"Sweet Right Here","SHeDAISY",192,0,16,24,False
2004-12-25,"Christmas With Dino","Dean Martin",193,0,193,1,True
2004-12-25,"The Hunger For More","Lloyd Banks",194,171,1,24,False
2004-12-25,"Meet Me In Margaritaville: Jimmy Buffett The Ultimate Collection","Jimmy Buffett",195,0,9,44,False
2004-12-25,"The OC: Music From: Mix 2","Soundtrack",196,0,90,6,False
2004-12-25,"Dora The Explorer","Soundtrack",197,196,133,9,False
2004-12-25,"Big & Rich's Super Galactic Fan Pak (EP)","Big & Rich",198,0,90,6,False
2004-12-25,"Beautifully Human: Words And Sounds Vol. 2","Jill Scott",199,142,3,15,False
2004-12-25,"Barrio Fino","Daddy Yankee",200,190,67,5,False
2004-12-18,"MTV Ultimate Mash-Ups Presents: Collision Course","Jay-Z/Linkin Park",1,0,1,1,True
2004-12-18,"How To Dismantle An Atomic Bomb","U2",2,1,1,2,False
2004-12-18,"Breakaway","Kelly Clarkson",3,0,3,1,True
2004-12-18,"Encore","Eminem",4,2,1,4,False
2004-12-18,"Street's Disciple","Nas",5,0,5,1,True
2004-12-18,"Greatest Hits","Shania Twain",6,3,2,4,False
2004-12-18,"Urban Legend","T.I.",7,0,7,1,True
2004-12-18,"Now 17","Various Artists",8,6,1,5,False
2004-12-18,"Destiny Fulfilled","Destiny's Child",9,4,2,4,False
2004-12-18,"Greatest Hits 2","Toby Keith",10,5,3,4,False
2004-12-18,"Confessions","Usher",11,12,1,37,False
2004-12-18,"Crunk Juice","Lil Jon & The East Side Boyz",12,10,3,4,False
2004-12-18,"Merry Christmas With Love","Clay Aiken",13,11,4,3,False
2004-12-18,"Rejoyce: The Christmas Album","Jessica Simpson",14,16,14,2,False
2004-12-18,"Love. Angel. Music. Baby.","Gwen Stefani",15,7,7,2,False
2004-12-18,"R&G (Rhythm & Gangsta): The Masterpiece","Snoop Dogg",16,9,6,3,False
2004-12-18,"Suit","Nelly",17,14,1,12,False
2004-12-18,"Live Like You Were Dying","Tim McGraw",18,13,1,15,False
2004-12-18,"50 Number Ones","George Strait",19,18,1,9,False
2004-12-18,"Christmas Celebration","Mannheim Steamroller",20,28,19,8,False
2004-12-18,"Free Yourself","Fantasia",21,8,8,2,False
2004-12-18,"Hilary Duff","Hilary Duff",22,21,2,10,False
2004-12-18,"Genius Loves Company","Ray Charles",23,24,2,14,False
2004-12-18,"Live At The Greek","Josh Groban",24,0,24,1,True
2004-12-18,"Here For The Party","Gretchen Wilson",25,22,2,30,False
2004-12-18,"American Idiot","Green Day",26,25,1,11,False
2004-12-18,"Stardust... The Great American Songbook Vol. III","Rod Stewart",27,27,1,7,False
2004-12-18,"Greatest Hits","Creed",28,15,15,2,False
2004-12-18,"Do I Speak For The World","Gerald Levert",29,0,29,1,True
2004-12-18,"Greatest Hits: My Prerogative","Britney Spears",30,17,4,4,False
2004-12-18,"The Lost Christmas Eve","Trans-Siberian Orchestra",31,44,26,8,False
2004-12-18,"Ray (Soundtrack)","Ray Charles",32,30,9,7,False
2004-12-18,"Feels Like Today","Rascal Flatts",33,36,1,10,False
2004-12-18,"Songs About Jane","Maroon 5",34,33,6,82,False
2004-12-18,"Andrea","Andrea Bocelli",35,35,16,4,False
2004-12-18,"Still Not Getting Any...","Simple Plan",36,26,3,6,False
2004-12-18,"Lonely Runs Both Ways","Alison Krauss + Union Station",37,29,29,2,False
2004-12-18,"Goodies","Ciara",38,32,3,10,False
