date,title,artist,current,previous,peak,weeks
1999-12-25,"Smooth","Santana Featuring Rob Thomas",1,1,1,22
1999-12-25,"Back At One","Brian McKnight",2,2,2,18
1999-12-25,"I Wanna Love You Forever","Jessica Simpson",3,3,3,11
1999-12-25,"I Knew I Loved You","Savage Garden",4,4,4,10
1999-12-25,"My Love Is Your Love","Whitney Houston",5,5,5,17
1999-12-25,"I Need To Know","Marc Anthony",6,6,3,16
1999-12-25,"Hot Boyz","Missy "Misdemeanor" Elliott Featuring NAS, EVE & Q-Tip",7,9,7,5
1999-12-25,"U Know What's Up","Donell Jones",8,7,7,14
1999-12-25,"Bring It All To Me","Blaque",9,11,9,10
1999-12-25,"24/7","Kevon Edmonds",10,10,10,8
1999-12-25,"Girl On TV","LFO",11,14,10,6
1999-12-25,"Waiting For Tonight","Jennifer Lopez",12,8,8,11
1999-12-25,"What A Girl Wants","Christina Aguilera",13,18,13,5
1999-12-25,"Then The Morning Comes","Smash Mouth",14,16,14,9
1999-12-25,"Steal My Sunshine","Len",15,12,9,20
1999-12-25,"Blue (Da Ba Dee)","Eiffel 65",16,29,16,3
1999-12-25,"He Can't Love U","Jagged Edge",17,32,17,3
1999-12-25,"Mambo No. 5 (A Little Bit Of...)","Lou Bega",18,13,3,18
1999-12-25,"Where My Girls At?","702",19,17,4,35
1999-12-25,"Unpretty","TLC",20,15,1,27
1999-12-25,"Meet Virginia","Train",21,22,21,12
1999-12-25,"Learn To Fly","Foo Fighters",22,25,22,11
1999-12-25,"4, 5, 6","Sole Featuring JT Money & Kandi",23,21,21,9
1999-12-25,"Get It On Tonite","Montell Jordan",24,38,24,10
1999-12-25,"Back That Thang Up","Juvenile Featuring Mannie Fresh & Lil' Wayne",25,24,19,25
1999-12-25,"Big Deal","LeAnn Rimes",26,26,26,11
1999-12-25,"Get Gone","Ideal",27,20,13,19
1999-12-25,"Breathe","Faith Hill",28,28,28,8
1999-12-25,"Dancin'","Guy",29,46,29,2
1999-12-25,"That's The Way It Is","Celine Dion",30,34,30,7
1999-12-25,"He Didn't Have To Be","Brad Paisley",31,30,30,10
1999-12-25,"Satisfy You","Puff Daddy Featuring R. Kelly",32,19,2,14
1999-12-25,"Got Your Money","Ol' Dirty Bastard Featuring Kelis",33,37,33,10
1999-12-25,"Someday","Sugar Ray",34,23,7,26
1999-12-25,"Hanginaround","Counting Crows",35,35,35,8
1999-12-25,"Stay The Night","IMx",36,40,31,12
1999-12-25,"Black Balloon","Goo Goo Dolls",37,33,16,25
1999-12-25,"Take A Picture","Filter",38,52,38,5
1999-12-25,"Shake Your Bon-Bon","Ricky Martin",39,39,39,6
1999-12-25,"If You Love Me","Mint Condition",40,42,30,8
1999-12-25,"When I Said I Do","Clint Black",41,31,31,11
1999-12-25,"You Can Do It","Ice Cube Featuring Mack 10 & Ms. Toi",42,50,42,4
1999-12-25,"15 Minutes","Marc Nelson",43,27,27,13
1999-12-25,"Don't Say You Love Me","M2M",44,54,44,6
1999-12-25,"Amazed","Lonestar",45,0,24,21
1999-12-25,"What Do You Say","Reba",46,51,46,9
1999-12-25,"The Christmas Song (Chestnuts Roasting On An Open Fire)","Christina Aguilera",47,97,47,2
1999-12-25,"Got To Get It","Sisqo Featuring Make It Hot",48,48,48,6
1999-12-25,"She's So High","Tal Bachman",49,44,14,28
1999-12-25,"Thank God I Found You","Mariah Carey Featuring Joe & 98 Degrees",50,68,50,3
1999-12-25,"Heartbreaker","Mariah Carey Featuring Jay-Z",51,41,1,17
1999-12-25,"Cowboy Take Me Away","Dixie Chicks",52,61,52,5
1999-12-25,"(You Drive Me) Crazy","Britney Spears",53,36,10,15
1999-12-25,"My Best Friend","Tim McGraw",54,64,54,5
1999-12-25,"Pop A Top","Alan Jackson",55,57,55,7
1999-12-25,"Angels","Robbie Williams",56,62,56,6
1999-12-25,"All Things Considered","Yankee Grey",57,55,55,15
1999-12-25,"Will 2K","Will Smith Featuring K-Ci",58,43,25,9
1999-12-25,"All The Small Things","Blink-182",59,69,59,4
1999-12-25,"I Love You","Martina McBride",60,49,24,18
1999-12-25,"Higher","Creed",61,60,52,16
1999-12-25,"Bling Bling","B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",62,58,36,15
1999-12-25,"Caught Out There","Kelis",63,67,63,4
1999-12-25,"Deep Inside","Mary J. Blige",64,73,64,7
1999-12-25,"Something Like That","Tim McGraw",65,66,28,20
1999-12-25,"Gotta Man","Eve",66,59,26,15
1999-12-25,"Rhythm Divine","Enrique Iglesias",67,79,67,4
1999-12-25,"Home To You","John Michael Montgomery",68,53,45,13
1999-12-25,"Sexual (Li Da Di)","Amber",69,76,69,20
1999-12-25,"Larger Than Life","Backstreet Boys",70,65,25,15
1999-12-25,"None Of Ur Friends Business","Ginuwine",71,84,71,3
1999-12-25,"Bug A Boo","Destiny's Child",72,71,33,14
1999-12-25,"The Chemicals Between Us","Bush",73,75,67,13
1999-12-25,"She Thinks My Tractor's Sexy","Kenny Chesney",74,81,74,6
1999-12-25,"Left & Right","D'Angelo Featuring Method Man And Redman",75,77,75,3
1999-12-25,"There She Goes","Sixpence None The Richer",76,80,32,16
1999-12-25,"We Can't Be Friends","Deborah Cox With R.L.",77,63,8,16
1999-12-25,"N 2 Gether Now","Limp Bizkit Featuring Method Man",78,85,78,4
1999-12-25,"The Great Beyond","R.E.M.",79,0,79,1
1999-12-25,"Smile","Lonestar",80,89,80,2
1999-12-25,"Come On Over","Shania Twain",81,70,58,10
1999-12-25,"The Rockafeller Skank","Fatboy Slim",82,83,77,23
1999-12-25,"Say My Name","Destiny's Child",83,0,83,1
1999-12-25,"Tha Block Is Hot","Lil' Wayne Featuring Juvenile & B.G.",84,92,84,4
1999-12-25,"Music Of My Heart","'N Sync & Gloria Estefan",85,86,2,17
1999-12-25,"No More Rain (In This Cloud)","Angie Stone",86,0,86,1
1999-12-25,"Guerrilla Radio","Rage Against The Machine",87,91,69,9
