CHART WEEK,THIS WEEK,TITLE,PERFORMER,LAST WEEK,PEAK POS.,WKS ON CHART
1/1/2022,1,All I Want For Christmas Is You,Mariah Carey,1,1,50
1/1/2022,2,Rockin' Around The Christmas Tree,Brenda Lee,2,2,44
1/1/2022,3,Jingle Bell Rock,Bobby Helms,4,3,41
1/1/2022,4,A Holly Jolly Christmas,Burl Ives,5,4,25
1/1/2022,5,Easy On Me,Adele,3,1,11
1/1/2022,6,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,26
1/1/2022,7,Last Christmas,Wham!,9,7,24
1/1/2022,8,Feliz Navidad,Jose Feliciano,11,6,19
1/1/2022,9,Stay,The Kid LAROI & Justin Bieber,6,1,24
1/1/2022,10,Sleigh Ride,The Ronettes,13,10,15
1/1/2022,11,The Christmas Song (Merry Christmas To You),Nat King Cole,15,11,31
1/1/2022,12,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,17,8,18
1/1/2022,13,Underneath The Tree,Kelly Clarkson,18,12,14
1/1/2022,14,Broadway Girls,Lil Durk Featuring Morgan Wallen,0,14,1
1/1/2022,15,Heat Waves,Glass Animals,8,7,49
1/1/2022,16,Christmas (Baby Please Come Home),Darlene Love,25,16,11
1/1/2022,17,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,19,12,11
1/1/2022,18,Santa Tell Me,Ariana Grande,24,17,12
1/1/2022,19,Rudolph The Red-Nosed Reindeer,Gene Autry,21,16,16
1/1/2022,20,Happy Holiday / The Holiday Season,Andy Williams,22,18,12
1/1/2022,21,White Christmas,Bing Crosby,27,12,24
1/1/2022,22,Industry Baby,Lil Nas X & Jack Harlow,10,1,22
1/1/2022,23,Shivers,Ed Sheeran,12,5,15
1/1/2022,24,Need To Know,Doja Cat,14,8,28
1/1/2022,25,Run Rudolph Run,Chuck Berry,32,10,13
1/1/2022,26,Super Gremlin,Kodak Black,20,20,7
1/1/2022,27,abcdefu,GAYLE,16,15,5
1/1/2022,28,(There's No Place Like) Home For The Holidays,Perry Como,28,22,11
1/1/2022,29,Cold Heart (PNAU Remix),Elton John & Dua Lipa,23,11,16
1/1/2022,30,It's Beginning To Look A Lot Like Christmas,Michael Buble,36,20,9
1/1/2022,31,Bad Habits,Ed Sheeran,26,2,26
1/1/2022,32,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),30,5,7
1/1/2022,33,Jingle Bells,Frank Sinatra,0,33,3
1/1/2022,34,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,44,32,4
1/1/2022,35,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,50,35,2
1/1/2022,36,Wonderful Christmastime,Paul McCartney,41,28,6
1/1/2022,37,Linus & Lucy,Vince Guaraldi Trio,0,37,1
1/1/2022,38,Good 4 U,Olivia Rodrigo,33,1,32
1/1/2022,39,Ghost,Justin Bieber,37,32,13
1/1/2022,40,Please Come Home For Christmas,Eagles,0,18,10
1/1/2022,41,Santa Claus Is Comin' To Town,Jackson 5,0,41,2
1/1/2022,42,I Hate U,SZA,31,7,3
1/1/2022,43,Little Saint Nick,The Beach Boys,0,43,2
1/1/2022,44,Mistletoe,Justin Bieber,49,11,12
1/1/2022,45,Fancy Like,Walker Hayes,35,3,27
1/1/2022,46,Deck The Halls,Nat King Cole,0,43,3
1/1/2022,47,Have Yourself A Merry Little Christmas,Michael Buble,0,47,2
1/1/2022,48,Christmastime Is Here,Vince Guaraldi Trio,0,48,1
1/1/2022,49,Thats What I Want,Lil Nas X,45,10,14
1/1/2022,50,One Right Now,Post Malone & The Weeknd,38,6,7
1/1/2022,51,Happier Than Ever,Billie Eilish,43,11,21
1/1/2022,52,Love Nwantiti (Ah Ah Ah),CKay,47,31,14
1/1/2022,53,Knife Talk,Drake Featuring 21 Savage & Project Pat,48,4,16
1/1/2022,54,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,52,30,19
1/1/2022,55,Merry Christmas,Ed Sheeran & Elton John,66,55,3
1/1/2022,56,Better Days,NEIKED X Mae Muller X Polo G,53,29,10
1/1/2022,57,Oh My God,Adele,51,5,5
1/1/2022,58,Way 2 Sexy,Drake Featuring Future & Young Thug,46,1,16
1/1/2022,59,Buy Dirt,Jordan Davis Featuring Luke Bryan,57,30,20
1/1/2022,60,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,58,21,15
1/1/2022,61,You Should Probably Leave,Chris Stapleton,61,39,25
1/1/2022,62,Christmas Tree Farm (Old Timey Version),Taylor Swift,81,62,4
1/1/2022,63,Pick Out A Christmas Tree,Dan + Shay,79,63,4
1/1/2022,64,Whiskey And Rain,Michael Ray,65,61,12
1/1/2022,65,Girls Want Girls,Drake Featuring Lil Baby,60,2,16
1/1/2022,66,Sand In My Boots,Morgan Wallen,67,32,23
1/1/2022,67,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",62,17,11
1/1/2022,68,All Too Well (Taylor's Version),Taylor Swift,59,1,6
1/1/2022,69,Big Energy,Latto,71,69,9
1/1/2022,70,Enemy,Imagine Dragons X JID,68,68,5
1/1/2022,71,I'll Be Home For Christmas,Camila Cabello,83,71,3
1/1/2022,72,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,73,53,13
1/1/2022,73,One Mississippi,Kane Brown,77,59,13
1/1/2022,74,Burn,Juice WRLD,34,34,2
1/1/2022,75,Have Mercy,Chloe,70,28,15
1/1/2022,76,Woman,Doja Cat,78,62,21
1/1/2022,77,25 Million,Roddy Ricch,0,77,1
1/1/2022,78,By Your Side,Rod Wave,69,58,4
1/1/2022,79,Christmas Isn't Canceled (Just You),Kelly Clarkson,0,79,1
1/1/2022,80,For Tonight,Giveon,91,80,12
1/1/2022,81,Life Goes On,Oliver Tree,0,81,3
1/1/2022,82,'Til You Can't,Cody Johnson,88,65,11
1/1/2022,83,To Be Loved By You,Parker McCollum,85,83,4
1/1/2022,84,My Universe,Coldplay x BTS,74,1,13
1/1/2022,85,Moved To Miami,Roddy Ricch Featuring Lil Baby,0,85,1
1/1/2022,86,Freedom Was A Highway,Jimmie Allen & Brad Paisley,95,76,11
1/1/2022,87,Wandered To LA.,Juice WRLD & Justin Bieber,55,49,3
1/1/2022,88,Already Dead,Juice WRLD,54,20,5
1/1/2022,89,Tequila Little Time,Jon Pardi,90,68,11
1/1/2022,90,Scorpio,Moneybagg Yo,94,87,5
1/1/2022,91,Hibachi,Roddy Ricch Featuring Kodak Black & 21 Savage,0,91,1
1/1/2022,92,Heart On Fire,Eric Church,99,89,5
1/1/2022,93,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,89,45,6
1/1/2022,94,Same Boat,Zac Brown Band,92,48,14
1/1/2022,95,Thailand,Roddy Ricch,0,95,1
1/1/2022,96,Bubbly,Young Thug With Drake & Travis Scott,100,20,10
1/1/2022,97,Do It To It,Acraze Featuring Cherish,0,97,1
1/1/2022,98,No Love,Summer Walker & SZA,96,13,7
1/1/2022,99,Knowing You,Kenny Chesney,84,57,19
1/1/2022,100,Family Ties,Baby Keem & Kendrick Lamar,93,18,17
1/8/2022,1,All I Want For Christmas Is You,Mariah Carey,1,1,51
1/8/2022,2,Easy On Me,Adele,5,1,12
1/8/2022,3,Rockin' Around The Christmas Tree,Brenda Lee,2,2,45
1/8/2022,4,Jingle Bell Rock,Bobby Helms,3,3,42
1/8/2022,5,A Holly Jolly Christmas,Burl Ives,4,4,26
1/8/2022,6,Stay,The Kid LAROI & Justin Bieber,9,1,25
1/8/2022,7,Heat Waves,Glass Animals,15,7,50
1/8/2022,8,It's The Most Wonderful Time Of The Year,Andy Williams,6,5,27
1/8/2022,9,Shivers,Ed Sheeran,23,5,16
1/8/2022,10,Feliz Navidad,Jose Feliciano,8,6,20
1/8/2022,11,Last Christmas,Wham!,7,7,25
1/8/2022,12,Industry Baby,Lil Nas X & Jack Harlow,22,1,23
1/8/2022,13,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,17,12,12
1/8/2022,14,Need To Know,Doja Cat,24,8,29
1/8/2022,15,Sleigh Ride,The Ronettes,10,10,16
1/8/2022,16,Super Gremlin,Kodak Black,26,16,8
1/8/2022,17,abcdefu,GAYLE,27,15,6
1/8/2022,18,The Christmas Song (Merry Christmas To You),Nat King Cole,11,11,32
1/8/2022,19,Bad Habits,Ed Sheeran,31,2,27
1/8/2022,20,Cold Heart (PNAU Remix),Elton John & Dua Lipa,29,11,17
1/8/2022,21,Underneath The Tree,Kelly Clarkson,13,12,15
1/8/2022,22,Christmas (Baby Please Come Home),Darlene Love,16,16,12
1/8/2022,23,Santa Tell Me,Ariana Grande,18,17,13
1/8/2022,24,Rudolph The Red-Nosed Reindeer,Gene Autry,19,16,17
1/8/2022,25,White Christmas,Bing Crosby,21,12,25
1/8/2022,26,Run Rudolph Run,Chuck Berry,25,10,14
1/8/2022,27,Happy Holiday / The Holiday Season,Andy Williams,20,18,13
1/8/2022,28,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),32,5,8
1/8/2022,29,(There's No Place Like) Home For The Holidays,Perry Como,28,22,12
1/8/2022,30,Broadway Girls,Lil Durk Featuring Morgan Wallen,14,14,2
1/8/2022,31,Good 4 U,Olivia Rodrigo,38,1,33
1/8/2022,32,Ghost,Justin Bieber,39,32,14
1/8/2022,33,Fancy Like,Walker Hayes,45,3,28
1/8/2022,34,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,12,8,19
1/8/2022,35,Thats What I Want,Lil Nas X,49,10,15
1/8/2022,36,Essence,Wizkid Featuring Justin Bieber & Tems,0,9,25
1/8/2022,37,Jingle Bells,Frank Sinatra,33,33,4
1/8/2022,38,Kiss Me More,Doja Cat Featuring SZA,0,3,37
1/8/2022,39,One Right Now,Post Malone & The Weeknd,50,6,8
1/8/2022,40,Oh My God,Adele,57,5,6
1/8/2022,41,Christmastime Is Here,Vince Guaraldi Trio,48,41,2
1/8/2022,42,You Right,Doja Cat & The Weeknd,0,11,26
1/8/2022,43,Happier Than Ever,Billie Eilish,51,11,22
1/8/2022,44,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,54,30,20
1/8/2022,45,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,35,35,3
1/8/2022,46,Better Days,NEIKED X Mae Muller X Polo G,56,29,11
1/8/2022,47,It's Beginning To Look A Lot Like Christmas,Michael Buble,30,20,10
1/8/2022,48,Love Nwantiti (Ah Ah Ah),CKay,52,31,15
1/8/2022,49,I Hate U,SZA,42,7,4
1/8/2022,50,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",0,50,1
1/8/2022,51,Buy Dirt,Jordan Davis Featuring Luke Bryan,59,30,21
1/8/2022,52,Knife Talk,Drake Featuring 21 Savage & Project Pat,53,4,17
1/8/2022,53,Way 2 Sexy,Drake Featuring Future & Young Thug,58,1,17
1/8/2022,54,Surface Pressure,Jessica Darrow,0,54,1
1/8/2022,55,You Should Probably Leave,Chris Stapleton,61,39,26
1/8/2022,56,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,60,21,16
1/8/2022,57,Whiskey And Rain,Michael Ray,64,57,13
1/8/2022,58,Sand In My Boots,Morgan Wallen,66,32,24
1/8/2022,59,Girls Want Girls,Drake Featuring Lil Baby,65,2,17
1/8/2022,60,One Mississippi,Kane Brown,73,59,14
1/8/2022,61,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",67,17,12
1/8/2022,62,Big Energy,Latto,69,62,10
1/8/2022,63,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,72,53,14
1/8/2022,64,Enemy,Imagine Dragons X JID,70,64,6
1/8/2022,65,Pick Out A Christmas Tree,Dan + Shay,63,63,5
1/8/2022,66,All Too Well (Taylor's Version),Taylor Swift,68,1,7
1/8/2022,67,Merry Christmas,Ed Sheeran & Elton John,55,55,4
1/8/2022,68,Have Mercy,Chloe,75,28,16
1/8/2022,69,Christmas Tree Farm (Old Timey Version),Taylor Swift,62,62,5
1/8/2022,70,'Til You Can't,Cody Johnson,82,65,12
1/8/2022,71,Woman,Doja Cat,76,62,22
1/8/2022,72,My Universe,Coldplay x BTS,84,1,14
1/8/2022,73,Freedom Was A Highway,Jimmie Allen & Brad Paisley,86,73,12
1/8/2022,74,I'll Be Home For Christmas,Camila Cabello,71,71,4
1/8/2022,75,For Tonight,Giveon,80,75,13
1/8/2022,76,By Your Side,Rod Wave,78,58,5
1/8/2022,77,To Be Loved By You,Parker McCollum,83,77,5
1/8/2022,78,Heart On Fire,Eric Church,92,78,6
1/8/2022,79,Christmas Tree,V,0,79,1
1/8/2022,80,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,93,45,7
1/8/2022,81,Scorpio,Moneybagg Yo,90,81,6
1/8/2022,82,Burn,Juice WRLD,74,34,3
1/8/2022,83,Hrs And Hrs,Muni Long,0,83,1
1/8/2022,84,Life Goes On,Oliver Tree,81,81,4
1/8/2022,85,Tequila Little Time,Jon Pardi,89,68,12
1/8/2022,86,Same Boat,Zac Brown Band,94,48,15
1/8/2022,87,Do It To It,Acraze Featuring Cherish,97,87,2
1/8/2022,88,Doin' This,Luke Combs,0,53,3
1/8/2022,89,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,0,87,7
1/8/2022,90,Poke It Out,Wale Featuring J. Cole,0,79,7
1/8/2022,91,Bubbly,Young Thug With Drake & Travis Scott,96,20,11
1/8/2022,92,I Am Woman,Emmy Meli,0,92,1
1/8/2022,93,Christmas Isn't Canceled (Just You),Kelly Clarkson,79,79,2
1/8/2022,94,Pressure,Ari Lennox,0,94,1
1/8/2022,95,Wandered To LA.,Juice WRLD & Justin Bieber,87,49,4
1/8/2022,96,Beers On Me,"Dierks Bentley, Breland & HARDY",0,96,1
1/8/2022,97,Already Dead,Juice WRLD,88,20,6
1/8/2022,98,No Love,Summer Walker & SZA,98,13,8
1/8/2022,99,23,Sam Hunt,0,99,1
1/8/2022,100,Family Ties,Baby Keem & Kendrick Lamar,100,18,18
1/15/2022,1,Easy On Me,Adele,2,1,13
1/15/2022,2,Stay,The Kid LAROI & Justin Bieber,6,1,26
1/15/2022,3,Heat Waves,Glass Animals,7,3,51
1/15/2022,4,Shivers,Ed Sheeran,9,4,17
1/15/2022,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",50,5,2
1/15/2022,6,Industry Baby,Lil Nas X & Jack Harlow,12,1,24
1/15/2022,7,Cold Heart (PNAU Remix),Elton John & Dua Lipa,20,7,18
1/15/2022,8,Bad Habits,Ed Sheeran,19,2,28
1/15/2022,9,Need To Know,Doja Cat,14,8,30
1/15/2022,10,Super Gremlin,Kodak Black,16,10,9
1/15/2022,11,abcdefu,GAYLE,17,11,7
1/15/2022,12,Levitating,Dua Lipa,0,2,61
1/15/2022,13,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),28,5,9
1/15/2022,14,Surface Pressure,Jessica Darrow,54,14,2
1/15/2022,15,Good 4 U,Olivia Rodrigo,31,1,34
1/15/2022,16,Fancy Like,Walker Hayes,33,3,29
1/15/2022,17,Ghost,Justin Bieber,32,17,15
1/15/2022,18,Save Your Tears,The Weeknd & Ariana Grande,0,1,53
1/15/2022,19,Kiss Me More,Doja Cat Featuring SZA,38,3,38
1/15/2022,20,Thats What I Want,Lil Nas X,35,10,16
1/15/2022,21,Essence,Wizkid Featuring Justin Bieber & Tems,36,9,26
1/15/2022,22,One Right Now,Post Malone & The Weeknd,39,6,9
1/15/2022,23,Better Days,NEIKED X Mae Muller X Polo G,46,23,12
1/15/2022,24,Oh My God,Adele,40,5,7
1/15/2022,25,You Right,Doja Cat & The Weeknd,42,11,27
1/15/2022,26,Happier Than Ever,Billie Eilish,43,11,23
1/15/2022,27,Broadway Girls,Lil Durk Featuring Morgan Wallen,30,14,3
1/15/2022,28,Buy Dirt,Jordan Davis Featuring Luke Bryan,51,28,22
1/15/2022,29,Love Nwantiti (Ah Ah Ah),CKay,48,29,16
1/15/2022,30,I Hate U,SZA,49,7,5
1/15/2022,31,Knife Talk,Drake Featuring 21 Savage & Project Pat,52,4,18
1/15/2022,32,You Should Probably Leave,Chris Stapleton,55,32,27
