date,title,artist,current,previous,peak,weeks,new
1970-12-26,"Abraxas","Santana",1,1,1,12,False
1970-12-26,"All Things Must Pass","George Harrison",2,5,2,2,False
1970-12-26,"Greatest Hits","Sly & The Family Stone",3,2,2,8,False
1970-12-26,"Stephen Stills","Stephen Stills",4,4,4,5,False
1970-12-26,"Live Album","Grand Funk Railroad",5,7,5,4,False
1970-12-26,"Close To You","Carpenters",6,6,2,15,False
1970-12-26,"Jesus Christ Superstar","Various Artists",7,9,7,6,False
1970-12-26,"Led Zeppelin III","Led Zeppelin",8,3,1,10,False
1970-12-26,"The Partridge Family Album","The Partridge Family",9,11,9,9,False
1970-12-26,"Sweet Baby James","James Taylor",10,10,3,42,False
1970-12-26,"To Be Continued","Isaac Hayes",11,12,11,4,False
1970-12-26,"Third Album","The Jackson 5",12,8,4,14,False
1970-12-26,"Tap Root Manuscript","Neil Diamond",13,13,13,6,False
1970-12-26,"John Lennon & The Plastic Ono Band","John Lennon",14,0,14,1,True
1970-12-26,"Pendulum","Creedence Clearwater Revival",15,0,15,1,True
1970-12-26,"New Morning","Bob Dylan",16,18,7,7,False
1970-12-26,"Elton John","Elton John",17,23,17,13,False
1970-12-26,"Naturally","Three Dog Night",18,21,18,3,False
1970-12-26,"Steppenwolf 7","Steppenwolf",19,19,19,6,False
1970-12-26,"Chicago II","Chicago",20,15,4,46,False
1970-12-26,"The Worst Of Jefferson Airplane","Jefferson Airplane",21,29,21,3,False
1970-12-26,"Cosmo's Factory","Creedence Clearwater Revival",22,14,1,23,False
1970-12-26,"Black Sabbath","Black Sabbath",23,24,23,18,False
1970-12-26,"Woodstock","Soundtrack",24,25,1,30,False
1970-12-26,"Elvis-That's The Way It Is","Elvis Presley",25,37,25,3,False
1970-12-26,"Whales & Nightingales","Judy Collins",26,27,26,4,False
1970-12-26,"Layla","Derek & The Dominos",27,16,16,6,False
1970-12-26,"No Dice","Badfinger",28,28,28,5,False
1970-12-26,"13","The Doors",29,75,29,2,False
1970-12-26,"Watt","Ten Years After",30,36,30,3,False
1970-12-26,"For The Good Times","Ray Price",31,33,31,16,False
1970-12-26,"Tommy","The Who",32,32,4,67,False
1970-12-26,"Neil Diamond/Gold","Neil Diamond",33,22,10,19,False
1970-12-26,"After The Gold Rush","Neil Young",34,17,8,15,False
1970-12-26,"Blows Against The Empire","Paul Kantner/Jefferson Starship",35,130,35,2,False
1970-12-26,"Portrait","The 5th Dimension",36,78,35,27,False
1970-12-26,"Temptations Greatest Hits II","The Temptations",37,31,15,14,False
