date,title,artist,current,previous,peak,weeks,new
2013-12-28,"Beyonce","Beyonce",1,0,1,1,True
2013-12-28,"Blame It All On My Roots: Five Decades Of Influences","Garth Brooks",2,1,1,3,False
2013-12-28,"Wrapped In Red","Kelly Clarkson",3,3,3,7,False
2013-12-28,"Black Panties","R. Kelly",4,0,4,1,True
2013-12-28,"Midnight Memories","One Direction",5,2,1,3,False
2013-12-28,"Duck The Halls: A Robertson Family Christmas","The Robertsons",6,5,3,7,False
2013-12-28,"Because The Internet","Childish Gambino",7,0,7,1,True
2013-12-28,"The Marshall Mathers LP 2","Eminem",8,6,1,6,False
2013-12-28,"PRISM","Katy Perry",9,9,1,8,False
2013-12-28,"Frozen","Soundtrack",10,11,10,3,False
2013-12-28,"A Mary Christmas","Mary J. Blige",11,10,10,9,False
2013-12-28,"NOW 48","Various Artists",12,12,3,5,False
2013-12-28,"Christmas","Michael Buble",13,8,1,27,False
2013-12-28,"Crash My Party","Luke Bryan",14,14,1,18,False
2013-12-28,"Here's To The Good Times","Florida Georgia Line",15,16,4,54,False
2013-12-28,"Pure Heroine","Lorde",16,18,3,11,False
2013-12-28,"Home For Christmas","Susan Boyle",17,19,17,7,False
2013-12-28,"ARTPOP","Lady Gaga",18,13,1,5,False
2013-12-28,"Night Visions","Imagine Dragons",19,22,2,67,False
2013-12-28,"Bangerz","Miley Cyrus",20,21,1,10,False
2013-12-28,"A Family Christmas","The Piano Guys",21,20,20,8,False
2013-12-28,"Britney Jean","Britney Spears",22,4,4,2,False
2013-12-28,"The Sound Of Music: Music From The NBC Television Event","Soundtrack",23,17,17,2,False
2013-12-28,"Nothing Was The Same","Drake",24,23,1,12,False
2013-12-28,"The Grohl Sessions: Vol. I (EP)","Zac Brown Band",25,0,25,1,True
2013-12-28,"PTXmas (EP)","Pentatonix",26,7,7,5,False
2013-12-28,"The 20/20 Experience (2 Of 2)","Justin Timberlake",27,24,1,11,False
2013-12-28,"Live At The Cellar Door","Neil Young",28,0,28,1,True
2013-12-28,"Christmas Symphony II","Mannheim Steamroller/Czech Philharmonic Orchestra",29,26,26,9,False
2013-12-28,"A Charlie Brown Christmas (Soundtrack)","Vince Guaraldi Trio",30,27,23,34,False
2013-12-28,"WOW Hits 2014","Various Artists",31,43,25,12,False
2013-12-28,"Based On A True Story ...","Blake Shelton",32,33,3,38,False
2013-12-28,"Noel","Josh Groban",33,28,1,50,False
2013-12-28,"Nashville: Season 2: Volume 1","Soundtrack",34,0,34,1,True
2013-12-28,"Cheers, It's Christmas","Blake Shelton",35,31,8,19,False
2013-12-28,"The Hunger Games: Catching Fire","Soundtrack",36,29,5,4,False
2013-12-28,"Red","Taylor Swift",37,39,1,60,False
2013-12-28,"Loved Me Back To Life","Celine Dion",38,35,2,6,False
2013-12-28,"The Hobbit: The Desolation of Smaug","Soundtrack",39,0,39,1,True
2013-12-28,"NOW Christmas","Various Artists",40,34,34,7,False
2013-12-28,"It's Christmas Time","Elvis Presley",41,41,41,35,False
2013-12-28,"Danielle Bradbery","Danielle Bradbery",42,54,19,3,False
2013-12-28,"On This Winter's Night","Lady Antebellum",43,36,8,16,False
2013-12-28,"Buon Natale: The Christmas Album","Il Volo",44,46,44,8,False
2013-12-28,"The Lost Christmas Eve","Trans-Siberian Orchestra",45,55,26,45,False
2013-12-28,"Feels Like Carolina","Parmalee",46,0,46,1,True
2013-12-28,"Merry Christmas, Baby","Rod Stewart",47,50,3,16,False
2013-12-28,"Merry Christmas","Mariah Carey",48,49,3,42,False
2013-12-28,"WOW Christmas (Blue)","Various Artists",49,61,49,6,False
2013-12-28,"Native","OneRepublic",50,38,4,38,False
2013-12-28,"Days Of Gold","Jake Owen",51,15,15,2,False
2013-12-28,"Unorthodox Jukebox","Bruno Mars",52,67,1,53,False
2013-12-28,"Sending You A Little Christmas","Johnny Mathis",53,80,53,7,False
2013-12-28,"Baptized","Daughtry",54,44,6,4,False
2013-12-28,"Golden","Lady Antebellum",55,52,1,32,False
2013-12-28,"The Best Man Holiday","Soundtrack",56,45,23,7,False
2013-12-28,"The Wrong Side Of Heaven...Volume 2","Five Finger Death Punch",57,42,2,4,False
2013-12-28,"1969 - Siempre: En Vivo Desde Monterrey: Parte 1","Jenni Rivera",58,25,25,2,False
2013-12-28,"Reflektor","Arcade Fire",59,32,1,7,False
2013-12-28,"Lightning Bolt","Pearl Jam",60,65,1,9,False
2013-12-28,"How Great Is Our God: The Essential Collection","Chris Tomlin",61,88,40,38,False
2013-12-28,"Yours Truly","Ariana Grande",62,51,1,15,False
2013-12-28,"Glenn Beck Presents: Believe Again","Clyde Bawden And Jason Barney",63,0,63,1,True
2013-12-28,"On Air: Live At The BBC Volume 2","The Beatles",64,64,7,5,False
2013-12-28,"Dreams Of Fireflies (On A Christmas Night) (EP)","Trans-Siberian Orchestra",65,66,9,16,False
2013-12-28,"The Heist","Macklemore & Ryan Lewis",66,68,2,62,False
2013-12-28,"See You Tonight","Scotty McCreery",67,70,6,9,False
2013-12-28,"Christmas Eve And Other Stories","Trans-Siberian Orchestra",68,72,48,34,False
2013-12-28,"The Best Of Nickelback: Volume 1","Nickelback",69,58,21,4,False
2013-12-28,"Glory In The Highest: Christmas Songs Of Worship","Chris Tomlin",70,71,19,44,False
2013-12-28,"Foreverly","Billie Joe + Norah",71,40,40,3,False
2013-12-28,"My Christmas","Andrea Bocelli",72,69,2,40,False
2013-12-28,"Night Train","Jason Aldean",73,75,1,61,False
2013-12-28,"What Christmas Means","Kem",74,172,64,11,False
2013-12-28,"Stars Dance","Selena Gomez",75,48,1,21,False
2013-12-28,"I Am","Yo Gotti",76,56,7,4,False
2013-12-28,"Blurred Lines","Robin Thicke",77,57,1,20,False
2013-12-28,"The Essential NOW That's What I Call Christmas","Various Artists",78,53,25,37,False
2013-12-28,"To Be Loved","Michael Buble",79,87,1,34,False
2013-12-28,"Frame By Frame","Cassadee Pope",80,131,9,10,False
2013-12-28,"Teen Beach Movie","Soundtrack",81,77,3,22,False
2013-12-28,"NOW 47","Various Artists",82,73,2,19,False
2013-12-28,"Common Courtesy","A Day To Remember",83,47,47,2,False
2013-12-28,"Love And War","Tamar Braxton",84,60,2,15,False
2013-12-28,"Christmas","Francesca Battistelli",85,83,69,10,False
2013-12-28,"Under The Influence: Holiday Edition (EP)","Straight No Chaser",86,91,33,7,False
2013-12-28,"Take Me Home","One Direction",87,85,1,57,False
2013-12-28,"The Truth About Love","P!nk",88,81,1,65,False
2013-12-28,"Up All Night","One Direction",89,134,1,89,False
2013-12-28,"The Classic Christmas Album","Elvis Presley",90,125,90,10,False
2013-12-28,"AM","Arctic Monkeys",91,93,6,14,False
2013-12-28,"Kidz Bop 24","Kidz Bop Kids",92,110,3,22,False
2013-12-28,"All The Little Lights","Passenger",93,94,28,20,False
2013-12-28,"The 20/20 Experience","Justin Timberlake",94,78,1,39,False
2013-12-28,"Hail To The King","Avenged Sevenfold",95,90,1,16,False
2013-12-28,"Born To Die","Lana Del Rey",96,109,2,98,False
2013-12-28,"Babel","Mumford & Sons",97,112,1,64,False
2013-12-28,"New","Paul McCartney",98,106,3,9,False
2013-12-28,"21","Adele",99,89,1,147,False
2013-12-28,"True Believers","Darius Rucker",100,63,2,30,False
2013-12-28,"Love In The Future","John Legend",101,84,4,15,False
2013-12-28,"The Christmas Attic","Trans-Siberian Orchestra",102,96,83,28,False
2013-12-28,"Fuse","Keith Urban",103,102,1,14,False
2013-12-28,"White Christmas","Bing Crosby",104,107,104,17,False
2013-12-28,"The Best Of The Temptations Christmas","The Temptations",105,111,102,7,False
2013-12-28,"Hunter Hayes","Hunter Hayes",106,118,7,96,False
2013-12-28,"B.O.A.T.S. II #METIME","2 Chainz",107,79,3,14,False
2013-12-28,"Merry Christmas... Love, Elvis","Elvis Presley",108,101,101,5,False
2013-12-28,"Classic Christmas Album","Barbra Streisand",109,95,95,5,False
2013-12-28,"Bad Blood","Bastille",110,99,11,15,False
2013-12-28,"Christmas Symphony","Mannheim Streamroller/Czech Philharmonic Orchestra",111,104,19,20,False
2013-12-28,"Home For Christmas","Celtic Woman",112,86,43,14,False
2013-12-28,"Elf","Soundtrack",113,82,81,24,False
2013-12-28,"Sail Out (EP)","Jhene Aiko",114,103,8,5,False
2013-12-28,"Christmas Portrait","Carpenters",115,139,114,28,False
2013-12-28,"Save Rock And Roll","Fall Out Boy",116,97,1,35,False
2013-12-28,"51 Songs Kids Really Love To Sing","Kids Choir",117,120,81,19,False
2013-12-28,"Closer To The Truth","Cher",118,130,3,12,False
2013-12-28,"Pitch Perfect","Soundtrack",119,74,3,60,False
2013-12-28,"Life Love & Hope","Boston",120,37,37,2,False
2013-12-28,"Days Are Gone","HAIM",121,119,6,11,False
2013-12-28,"Blown Away","Carrie Underwood",122,98,1,85,False
2013-12-28,"Mechanical Bull","Kings Of Leon",123,179,2,12,False
2013-12-28,"Pioneer","The Band Perry",124,121,2,37,False
2013-12-28,"Ellen's I'm Gonna Make You Dance Jams","Various Artists",125,92,38,5,False
2013-12-28,"Gold: A 50th Anniversary Christmas Celebration","Johnny Mathis",126,114,114,5,False
2013-12-28,"NOW That's What I Call Disney 2","Various Artists",127,108,27,5,False
2013-12-28,"Christmas With Scotty McCreery","Scotty McCreery",128,116,4,17,False
2013-12-28,"A Very She & Him Christmas","She & Him",129,129,12,17,False
2013-12-28,"Uncaged","Zac Brown Band",130,181,1,74,False
2013-12-28,"Call Me Crazy, But... (EP)","Sevyn Streeter",131,30,30,2,False
2013-12-28,"The Lumineers","The Lumineers",132,153,2,89,False
2013-12-28,"Modern Vampires Of The City","Vampire Weekend",133,200,1,28,False
2013-12-28,"Tailgates & Tanlines","Luke Bryan",134,136,2,123,False
2013-12-28,"'Tis The Season","Various Artists",135,123,48,5,False
2013-12-28,"The Block Brochure: Welcome To The Soil 4","E-40",136,0,136,1,True
2013-12-28,"Inside Llewyn Davis","Soundtrack",137,0,68,3,False
2013-12-28,"The Classic Christmas Album","Luther Vandross",138,173,138,4,False
2013-12-28,"Christmas Songs By Sinatra","Frank Sinatra",139,127,127,11,False
2013-12-28,"The Block Brochure: Welcome To The Soil 5","E-40",140,0,140,1,True
2013-12-28,"Under The Mistletoe","Justin Bieber",141,138,1,22,False
2013-12-28,"Rudolph The Red-Nosed Reindeer","Burl Ives",142,133,133,9,False
2013-12-28,"Christmas Extraordinaire","Mannheim Steamroller",143,122,5,23,False
2013-12-28,"My Head Is An Animal","Of Monsters And Men",144,183,6,89,False
2013-12-28,"Drinks After Work","Toby Keith",145,124,7,7,False
2013-12-28,"I Love You.","The Neighbourhood",146,146,39,34,False
2013-12-28,"Holiday Collection","Kenny G",147,135,85,28,False
2013-12-28,"Personal Christmas Collection","Andy Williams",148,163,131,9,False
2013-12-28,"The Legend Of Johnny Cash","Johnny Cash",149,160,5,144,False
2013-12-28,"The Best Of Bing Crosby: 20th Century Masters: The Christmas Collection","Bing Crosby",150,132,132,9,False
2013-12-28,"The Block Brochure: Welcome To The Soil 6","E-40",151,0,151,1,True
2013-12-28,"It Goes Like This","Thomas Rhett",152,169,6,7,False
2013-12-28,"Off The Beaten Path","Justin Moore",153,174,2,13,False
2013-12-28,"Paradise Valley","John Mayer",154,128,2,17,False
2013-12-28,"Magna Carta... Holy Grail","JAY-Z",155,155,1,23,False
2013-12-28,"Overcomer","Mandisa",156,182,29,16,False
2013-12-28,"Lindsey Stirling","Lindsey Stirling",157,157,23,55,False
2013-12-28,"Once Upon A Christmas","Kenny Rogers & Dolly Parton",158,152,31,25,False
2013-12-28,"Christmas Celebration","Mannheim Steamroller",159,171,19,19,False
2013-12-28,"Same Trailer Different Park","Kacey Musgraves",160,145,2,32,False
2013-12-28,"Random Access Memories","Daft Punk",161,147,1,30,False
2013-12-28,"True","Avicii",162,59,5,13,False
2013-12-28,"The King's Gift: A Celtic Christmas Collection","Trace Adkins",163,117,75,7,False
2013-12-28,"The Gift","Susan Boyle",164,175,1,30,False
2013-12-28,"The Classic Christmas Album","Kenny G",165,164,128,9,False
2013-12-28,"James Taylor At Christmas","James Taylor",166,151,16,32,False
2013-12-28,"The Christmas Song","Nat King Cole",167,137,100,14,False
2013-12-28,"Best Days","Tamela Mann",168,166,14,66,False
2013-12-28,"Come To The Well","Casting Crowns",169,186,2,82,False
2013-12-28,"Halcyon","Ellie Goulding",170,192,9,51,False
2013-12-28,"The Wrong Side Of Heaven...Volume 1","Five Finger Death Punch",171,126,2,20,False
2013-12-28,"Eric Clapton Guitar Festival: Crossroads: Live: MSG, NY, April 2013","Various Artists",172,178,25,4,False
2013-12-28,"Yeezus","Kanye West",173,76,1,26,False
2013-12-28,"Avril Lavigne","Avril Lavigne",174,140,5,6,False
2013-12-28,"These Are Special Times","Celine Dion",175,165,2,39,False
2013-12-28,"The Bluegrass Album","Alan Jackson",176,150,11,12,False
2013-12-28,"The Classic Christmas Album","Martina McBride",177,190,177,2,False
2013-12-28,"Winter Loversland","Tamar Braxton",178,100,43,5,False
2013-12-28,"From Here To Now To You","Jack Johnson",179,149,1,13,False
2013-12-28,"Sigh No More","Mumford & Sons",180,0,2,193,False
2013-12-28,"Classic Christmas Album","Andy Williams",181,191,181,2,False
2013-12-28,"Too Weird To Live, Too Rare To Die!","Panic! At The Disco",182,187,2,10,False
2013-12-28,"Louder","R5",183,196,24,12,False
2013-12-28,"Chipmunks Christmas","Alvin And The Chipmunks",184,159,111,9,False
2013-12-28,"The Taylor Swift Holiday Collection (EP)","Taylor Swift",185,177,20,42,False
2013-12-28,"The World From The Side Of The Moon","Phillip Phillips",186,0,4,54,False
2013-12-28,"Tornado","Little Big Town",187,167,2,62,False
2013-12-28,"A Musical Affair: The Greatest Songs From The World's Favourite Musicals","Il Divo",188,144,19,5,False
2013-12-28,"Top 25 Praise Songs: 2014 Edition","Various Artists",189,0,53,10,False
2013-12-28,"iTunes Session (EP)","Ellie Goulding",190,0,190,1,True
2013-12-28,"good kid, m.A.A.d city","Kendrick Lamar",191,189,2,60,False
2013-12-28,"Do You Hear What I Hear?: Women Of Christmas","Various Artists",192,142,118,15,False
2013-12-28,"Classic Christmas Album","Neil Diamond",193,0,193,1,True
2013-12-28,"Legend: The Best Of...","Bob Marley And The Wailers",194,0,18,292,False
2013-12-28,"Love In Portofino","Andrea Bocelli",195,0,40,6,False
2013-12-28,"A Christmas Album","Barbra Streisand",196,193,108,16,False
2013-12-28,"Holiday Spirits","Straight No Chaser",197,0,46,26,False
2013-12-28,"Harry For The Holidays","Harry Connick, Jr.",198,0,12,12,False
2013-12-28,"Doo-Wops & Hooligans","Bruno Mars",199,0,3,164,False
2013-12-28,"Overexposed","Maroon 5",200,0,2,74,False
2013-12-21,"Blame It All On My Roots: Five Decades Of Influences","Garth Brooks",1,3,1,2,False
2013-12-21,"Midnight Memories","One Direction",2,1,1,2,False
2013-12-21,"Wrapped In Red","Kelly Clarkson",3,6,3,6,False
2013-12-21,"Britney Jean","Britney Spears",4,0,4,1,True
2013-12-21,"Duck The Halls: A Robertson Family Christmas","The Robertsons",5,4,3,6,False
2013-12-21,"The Marshall Mathers LP 2","Eminem",6,2,1,5,False
2013-12-21,"PTXmas (EP)","Pentatonix",7,29,7,4,False
2013-12-21,"Christmas","Michael Buble",8,16,1,26,False
2013-12-21,"PRISM","Katy Perry",9,5,1,7,False
2013-12-21,"A Mary Christmas","Mary J. Blige",10,15,10,8,False
2013-12-21,"Frozen","Soundtrack",11,18,11,2,False
2013-12-21,"NOW 48","Various Artists",12,10,3,4,False
2013-12-21,"ARTPOP","Lady Gaga",13,7,1,4,False
2013-12-21,"Crash My Party","Luke Bryan",14,8,1,17,False
2013-12-21,"Days Of Gold","Jake Owen",15,0,15,1,True
2013-12-21,"Here's To The Good Times","Florida Georgia Line",16,13,4,53,False
2013-12-21,"The Sound Of Music: Music From The NBC Television Event","Soundtrack",17,0,17,1,True
2013-12-21,"Pure Heroine","Lorde",18,17,3,10,False
2013-12-21,"Home For Christmas","Susan Boyle",19,23,19,6,False
2013-12-21,"A Family Christmas","The Piano Guys",20,69,20,7,False
2013-12-21,"Bangerz","Miley Cyrus",21,9,1,9,False
2013-12-21,"Night Visions","Imagine Dragons",22,14,2,66,False
2013-12-21,"Nothing Was The Same","Drake",23,12,1,11,False
2013-12-21,"The 20/20 Experience (2 Of 2)","Justin Timberlake",24,11,1,10,False
2013-12-21,"1969 - Siempre: En Vivo Desde Monterrey: Parte 1","Jenni Rivera",25,0,25,1,True
2013-12-21,"Christmas Symphony II","Mannheim Steamroller/Czech Philharmonic Orchestra",26,64,26,8,False
2013-12-21,"A Charlie Brown Christmas (Soundtrack)","Vince Guaraldi Trio",27,54,23,33,False
2013-12-21,"Noel","Josh Groban",28,26,1,49,False
2013-12-21,"The Hunger Games: Catching Fire","Soundtrack",29,31,5,3,False
2013-12-21,"Call Me Crazy, But... (EP)","Sevyn Streeter",30,0,30,1,True
2013-12-21,"Cheers, It's Christmas","Blake Shelton",31,52,8,18,False
2013-12-21,"Reflektor","Arcade Fire",32,35,1,6,False
2013-12-21,"Based On A True Story ...","Blake Shelton",33,20,3,37,False
2013-12-21,"NOW Christmas","Various Artists",34,59,34,6,False
2013-12-21,"Loved Me Back To Life","Celine Dion",35,25,2,5,False
2013-12-21,"On This Winter's Night","Lady Antebellum",36,44,8,15,False
2013-12-21,"Life Love & Hope","Boston",37,0,37,1,True
2013-12-21,"Native","OneRepublic",38,57,4,37,False
2013-12-21,"Red","Taylor Swift",39,37,1,59,False
2013-12-21,"Foreverly","Billie Joe + Norah",40,40,40,2,False
2013-12-21,"It's Christmas Time","Elvis Presley",41,86,41,34,False
2013-12-21,"The Wrong Side Of Heaven...Volume 2","Five Finger Death Punch",42,34,2,3,False
2013-12-21,"WOW Hits 2014","Various Artists",43,38,25,11,False
2013-12-21,"Baptized","Daughtry",44,22,6,3,False
2013-12-21,"The Best Man Holiday","Soundtrack",45,50,23,6,False
2013-12-21,"Buon Natale: The Christmas Album","Il Volo",46,60,46,7,False
2013-12-21,"Common Courtesy","A Day To Remember",47,0,47,1,True
2013-12-21,"Stars Dance","Selena Gomez",48,27,1,20,False
2013-12-21,"Merry Christmas","Mariah Carey",49,84,3,41,False
2013-12-21,"Merry Christmas, Baby","Rod Stewart",50,58,3,15,False
2013-12-21,"Yours Truly","Ariana Grande",51,21,1,14,False
2013-12-21,"Golden","Lady Antebellum",52,41,1,31,False
2013-12-21,"The Essential NOW That's What I Call Christmas","Various Artists",53,74,25,36,False
2013-12-21,"Danielle Bradbery","Danielle Bradbery",54,19,19,2,False
2013-12-21,"The Lost Christmas Eve","Trans-Siberian Orchestra",55,102,26,44,False
2013-12-21,"I Am","Yo Gotti",56,45,7,3,False
2013-12-21,"Blurred Lines","Robin Thicke",57,24,1,19,False
2013-12-21,"The Best Of Nickelback: Volume 1","Nickelback",58,77,21,3,False
2013-12-21,"True","Avicii",59,46,5,12,False
2013-12-21,"Love And War","Tamar Braxton",60,56,2,14,False
2013-12-21,"WOW Christmas (Blue)","Various Artists",61,85,61,5,False
2013-12-21,"ONXRT: Live From the Archives, Volume 15","Various Artists",62,0,62,1,True
2013-12-21,"True Believers","Darius Rucker",63,51,2,29,False
2013-12-21,"On Air: Live At The BBC Volume 2","The Beatles",64,88,7,4,False
2013-12-21,"Lightning Bolt","Pearl Jam",65,63,1,8,False
2013-12-21,"Dreams Of Fireflies (On A Christmas Night) (EP)","Trans-Siberian Orchestra",66,105,9,15,False
2013-12-21,"Unorthodox Jukebox","Bruno Mars",67,83,1,52,False
2013-12-21,"The Heist","Macklemore & Ryan Lewis",68,30,2,61,False
2013-12-21,"My Christmas","Andrea Bocelli",69,110,2,39,False
2013-12-21,"See You Tonight","Scotty McCreery",70,39,6,8,False
2013-12-21,"Glory In The Highest: Christmas Songs Of Worship","Chris Tomlin",71,153,19,43,False
2013-12-21,"Christmas Eve And Other Stories","Trans-Siberian Orchestra",72,114,48,33,False
2013-12-21,"NOW 47","Various Artists",73,67,2,18,False
2013-12-21,"Pitch Perfect","Soundtrack",74,42,3,59,False
2013-12-21,"Night Train","Jason Aldean",75,75,1,60,False
2013-12-21,"Yeezus","Kanye West",76,43,1,25,False
2013-12-21,"Teen Beach Movie","Soundtrack",77,47,3,21,False
2013-12-21,"The 20/20 Experience","Justin Timberlake",78,36,1,38,False
2013-12-21,"B.O.A.T.S. II #METIME","2 Chainz",79,66,3,13,False
2013-12-21,"Sending You A Little Christmas","Johnny Mathis",80,178,80,6,False
2013-12-21,"The Truth About Love","P!nk",81,53,1,64,False
2013-12-21,"Elf","Soundtrack",82,127,81,23,False
2013-12-21,"Christmas","Francesca Battistelli",83,125,69,9,False
2013-12-21,"Love In The Future","John Legend",84,94,4,14,False
2013-12-21,"Take Me Home","One Direction",85,49,1,56,False
