date,title,artist,current,previous,peak,weeks,new
1974-12-28,"Greatest Hits","Elton John",1,1,1,6,False
1974-12-28,"War Child","Jethro Tull",2,3,2,10,False
1974-12-28,"Serenade","Neil Diamond",3,4,3,10,False
1974-12-28,"Verities & Balderdash","Harry Chapin",4,5,4,17,False
1974-12-28,"Back Home Again","John Denver",5,6,1,27,False
1974-12-28,"Fire","Ohio Players",6,8,6,6,False
1974-12-28,"It's Only Rock 'N Roll","The Rolling Stones",7,2,1,9,False
1974-12-28,"Mother Lode","Loggins & Messina",8,9,8,8,False
1974-12-28,"Free And Easy","Helen Reddy",9,10,9,9,False
1974-12-28,"Goodnight Vienna","Ringo Starr",10,13,10,5,False
1974-12-28,"Not Fragile","Bachman-Turner Overdrive",11,7,1,18,False
1974-12-28,"This Is The Moody Blues","The Moody Blues",12,12,12,6,False
1974-12-28,"Miles Of Aisles","Joni Mitchell",13,16,13,3,False
1974-12-28,"ButterFly","Barbra Streisand",14,15,14,7,False
1974-12-28,"Dragonfly","Jefferson Starship",15,11,11,10,False
1974-12-28,"Explores Your Mind","Al Green",16,17,16,6,False
1974-12-28,"I Feel A Song","Gladys Knight And The Pips",17,21,17,7,False
1974-12-28,"Heart Like A Wheel","Linda Ronstadt",18,24,18,4,False
1974-12-28,"Do It 'til You're Satisfied","B.T. Express",19,25,19,6,False
1974-12-28,"Stormbringer","Deep Purple",20,26,20,4,False
1974-12-28,"Caught Up","Millie Jackson",21,22,21,9,False
1974-12-28,"AWB","Average White Band",22,38,22,15,False
1974-12-28,"Melodies Of Love","Bobby Vinton",23,29,23,5,False
1974-12-28,"Photographs & Memories/His Greatest Hits","Jim Croce",24,23,2,13,False
1974-12-28,"Waitress In The Donut Shop","Maria Muldaur",25,27,25,8,False
1974-12-28,"Phoebe Snow","Phoebe Snow",26,14,14,17,False
1974-12-28,"David Live","David Bowie",27,19,8,10,False
1974-12-28,"Eldorado","Electric Light Orchestra",28,18,16,11,False
1974-12-28,"Walls And Bridges","John Lennon",29,20,1,12,False
1974-12-28,"Anka","Paul Anka",30,30,9,18,False
1974-12-28,"Southern Comfort","The Crusaders",31,40,31,10,False
1974-12-28,"I've Got The Music In Me","Kiki Dee",32,28,28,7,False
1974-12-28,"White Gold","Love Unlimited Orchestra",33,41,33,8,False
1974-12-28,"Late For The Sky","Jackson Browne",34,31,14,12,False
1974-12-28,"Streetlife Serenade","Billy Joel",35,39,35,9,False
1974-12-28,"Chicago VII","Chicago",36,54,1,40,False
1974-12-28,"New And Improved","Spinners",37,84,37,3,False
1974-12-28,"Caribou","Elton John",38,47,1,26,False
1974-12-28,"Wrap Around Joy","Carole King",39,36,1,14,False
1974-12-28,"The Silver Fox","Charlie Rich",40,49,40,4,False
1974-12-28,"Mott The Hoople Live","Mott The Hoople",41,52,41,5,False
1974-12-28,"Toledo Window Box","George Carlin",42,60,42,4,False
1974-12-28,"Rock & Roll Outlaws","Foghat",43,46,40,8,False
1974-12-28,"I Can Help","Billy Swan",44,58,44,4,False
1974-12-28,"Sinatra - The Main Event Live","Frank Sinatra",45,57,45,4,False
1974-12-28,"Fullfillingness First Finale","Stevie Wonder",46,55,1,21,False
1974-12-28,"Love Me For A Reason","The Osmonds",47,48,47,9,False
1974-12-28,"Cheech & Chong's Wedding Album","Cheech & Chong",48,35,5,11,False
1974-12-28,"Dave Mason","Dave Mason",49,32,25,9,False
1974-12-28,"All The Girls In The World Beware!!!","Grand Funk Railroad",50,66,50,2,False
1974-12-28,"John Denver's Greatest Hits","John Denver",51,53,1,56,False
1974-12-28,"Odds & Sods","The Who",52,33,15,10,False
1974-12-28,"Todd Rundgren's Utopia","Todd Rundgren",53,34,34,8,False
1974-12-28,"Borboletta","Santana",54,37,20,9,False
1974-12-28,"Together For The First Time...Live","B.B. King And Bobby Bland",55,67,55,10,False
1974-12-28,"Can't Get Enough","Barry White",56,45,1,17,False
1974-12-28,"Joy To The World-Their Greatest Hits","Three Dog Night",57,68,57,2,False
1974-12-28,"Dark Horse","George Harrison",58,0,58,1,True
1974-12-28,"Holiday","America",59,42,3,25,False
1974-12-28,"Furthermore...","Shawn Phillips",60,70,60,5,False
1974-12-28,"The Lamb Lies Down On Broadway","Genesis",61,77,61,3,False
