chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-06-10,1,Midnights,Taylor Swift,3,1,32
2023-06-10,2,One Thing At A Time,Morgan Wallen,1,1,13
2023-06-10,3,Almost Healed,Lil Durk,-,3,1
2023-06-10,4,SOS,SZA,2,1,25
2023-06-10,5,Dangerous: The Double Album,Morgan Wallen,4,1,125
2023-06-10,6,Lover,Taylor Swift,6,1,197
2023-06-10,7,Gettin' Old,Luke Combs,8,4,10
2023-06-10,8,Un Verano Sin Ti,Bad Bunny,9,1,56
2023-06-10,9,American Heartbreak,Zach Bryan,10,5,54
2023-06-10,10,Religiously. The Album.,Bailey Zimmerman,11,7,3
2023-06-10,11,1989,Taylor Swift,12,1,442
2023-06-10,12,Heroes & Villains,Metro Boomin,13,1,26
2023-06-10,13,Folklore,Taylor Swift,15,1,149
2023-06-10,14,Manana Sera Bonito,Karol G,17,1,14
2023-06-10,15,The Highlights,The Weeknd,20,2,120
2023-06-10,16,Her Loss,Drake & 21 Savage,18,1,30
2023-06-10,17,Desvelado,Eslabon Armado,21,6,5
2023-06-10,18,reputation,Taylor Swift,22,1,245
2023-06-10,19,Pistolz & Pearlz,Kodak Black,-,19,1
2023-06-10,20,Red (Taylor's Version),Taylor Swift,24,1,81
2023-06-10,21,The Little Mermaid (2023),Soundtrack,193,21,2
2023-06-10,22,Renaissance,Beyonce,25,1,44
2023-06-10,23,Diamonds,Elton John,32,7,290
2023-06-10,24,My Turn,Lil Baby,28,1,170
2023-06-10,25,Starboy,The Weeknd,29,1,291
2023-06-10,26,Richest Opp,YoungBoy Never Broke Again,19,4,3
2023-06-10,27,Rumours,Fleetwood Mac,43,1,531
2023-06-10,28,This One's For You,Luke Combs,38,4,313
2023-06-10,29,Harry's House,Harry Styles,30,1,54
2023-06-10,30,If I Know Me,Morgan Wallen,42,10,244
2023-06-10,31,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,40,18,644
2023-06-10,32,-,Ed Sheeran,23,2,4
2023-06-10,33,Greatest Hits,Queen,46,8,545
2023-06-10,34,It's Only Me,Lil Baby,31,1,33
2023-06-10,35,Evermore,Taylor Swift,33,1,129
2023-06-10,36,Hollywood's Bleeding,Post Malone,35,1,195
2023-06-10,37,Endless Summer Vacation,Miley Cyrus,34,3,12
2023-06-10,38,Certified Lover Boy,Drake,36,1,91
2023-06-10,39,Fearless (Taylor's Version),Taylor Swift,39,1,99
2023-06-10,40,Goodbye & Good Riddance,Juice WRLD,27,4,263
2023-06-10,41,"good kid, m.A.A.d city",Kendrick Lamar,48,2,553
2023-06-10,42,Curtain Call: The Hits,Eminem,49,1,634
2023-06-10,43,I Never Liked You,Future,50,1,57
2023-06-10,44,What You See Is What You Get,Luke Combs,52,1,186
2023-06-10,45,Speak Now,Taylor Swift,37,1,182
2023-06-10,46,All The Best: The Hits,Tina Turner,45,45,2
2023-06-10,47,DAMN.,Kendrick Lamar,51,1,320
2023-06-10,48,Sour,Olivia Rodrigo,53,1,106
2023-06-10,49,Born To Die,Lana Del Rey,59,2,486
2023-06-10,50,Graduation,Kanye West,56,1,278
2023-06-10,51,Ctrl,SZA,55,3,312
2023-06-10,52,The Mockingbird & The Crow,HARDY,64,4,19
2023-06-10,53,Where The Light Goes,matchbox twenty,-,53,1
2023-06-10,54,2014 Forest Hills Drive,J. Cole,57,1,443
2023-06-10,55,Legend: The Best Of...,Bob Marley And The Wailers,69,5,785
2023-06-10,56,Scorpion,Drake,60,1,257
2023-06-10,57,Bluebird Days,Jordan Davis,73,19,15
2023-06-10,58,Traveller,Chris Stapleton,72,1,403
2023-06-10,59,Call Me If You Get Lost,"Tyler, The Creator",58,1,87
2023-06-10,60,Flower Boy,"Tyler, The Creator",68,2,141
2023-06-10,61,Portals,Melanie Martinez,47,2,9
2023-06-10,62,Take Care,Drake,61,1,535
2023-06-10,63,Greatest Hits,2Pac,62,3,477
2023-06-10,64,SEVENTEEN 10th Mini Album: FML (EP),SEVENTEEN,44,2,5
2023-06-10,65,IGOR,"Tyler, The Creator",63,1,190
2023-06-10,66,Unforgiven,LE SSERAFIM,65,6,4
2023-06-10,67,Greatest Hits,Tom Petty And The Heartbreakers,89,2,516
2023-06-10,68,Growin' Up,Luke Combs,74,2,49
2023-06-10,69,Journey's Greatest Hits,Journey,78,10,764
2023-06-10,70,7220,Lil Durk,67,1,64
2023-06-10,71,Future Nostalgia,Dua Lipa,80,3,165
2023-06-10,72,Views,Drake,75,1,368
2023-06-10,73,Take Me Back To Eden,Sleep Token,16,16,2
2023-06-10,74,ANTI,Rihanna,71,1,370
2023-06-10,75,ASTROWORLD,Travis Scott,77,1,252
2023-06-10,76,Savage Mode II,21 Savage & Metro Boomin,76,1,104
2023-06-10,77,Meteora,Linkin Park,140,1,127
2023-06-10,78,All Time Greatest Hits,Lynyrd Skynyrd,109,56,222
2023-06-10,79,Greatest Hits,Guns N' Roses,102,3,627
2023-06-10,80,Starting Over,Chris Stapleton,99,3,133
2023-06-10,81,Greatest Hits So Far...,Zac Brown Band,132,20,365
2023-06-10,82,Different Man,Kane Brown,93,5,38
2023-06-10,83,=,Ed Sheeran,90,1,83
2023-06-10,84,Planet Her,Doja Cat,87,2,101
2023-06-10,85,Wasteland,Brent Faiyaz,81,2,47
2023-06-10,86,Bell Bottom Country,Lainey Wilson,103,51,28
2023-06-10,87,Pa Que Hablen.: I.,Fuerza Regida,83,60,22
2023-06-10,88,50 Number Ones,George Strait,104,1,239
2023-06-10,89,beerbongs & bentleys,Post Malone,85,1,266
2023-06-10,90,Purgatory,Tyler Childers,158,89,151
2023-06-10,91,Rave & Roses,Rema,97,81,21
2023-06-10,92,Six Jewels 23,Yng Lvcas,-,92,1
2023-06-10,93,Don't Try This At Home,YoungBoy Never Broke Again,66,5,6
2023-06-10,94,Shoot For The Stars Aim For The Moon,Pop Smoke,70,1,152
2023-06-10,95,Hamilton: An American Musical,Original Broadway Cast,95,2,401
2023-06-10,96,÷ (Divide),Ed Sheeran,105,1,324
2023-06-10,97,Red Moon In Venus,Kali Uchis,86,4,13
2023-06-10,98,Blonde,Frank Ocean,94,1,332
2023-06-10,99,Teenage Dream,Katy Perry,118,1,326
2023-06-10,100,More Life,Drake,101,1,307
2023-06-10,101,The Essential Michael Jackson,Michael Jackson,113,31,431
2023-06-10,102,Nate Smith,Nate Smith,98,30,5
2023-06-10,103,Greatest Hits,Bob Seger & The Silver Bullet Band,127,8,475
2023-06-10,104,Gold: Greatest Hits,ABBA,108,25,276
2023-06-10,105,Petals To Thorns,d4vd,-,105,1
2023-06-10,106,Greatest Hits,Foo Fighters,122,11,216
2023-06-10,107,Lucky,Megan Moroney,84,38,4
2023-06-10,108,Nevermind,Nirvana,-,1,621
2023-06-10,109,"Guardians Of The Galaxy, Vol. 3: Awesome Mix Vol.3",Soundtrack,82,15,4
2023-06-10,110,The Melodic Blue,Baby Keem,110,5,90
2023-06-10,111,Fine Line,Harry Styles,115,1,181
2023-06-10,112,Thriller,Michael Jackson,116,1,576
2023-06-10,113,Did You Know That There's A Tunnel Under Ocean Blvd,Lana Del Rey,135,3,10
2023-06-10,114,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,133,14,151
2023-06-10,115,Greatest Hits,Pitbull,141,108,112
2023-06-10,116,T R A P S O U L,Bryson Tiller,111,8,321
2023-06-10,117,Hope,NF,96,2,8
2023-06-10,118,Doo-Wops & Hooligans,Bruno Mars,117,3,626
2023-06-10,119,Legends Never Die,Juice WRLD,112,1,151
2023-06-10,120,The Name Chapter: Temptation (EP),TOMORROW X TOGETHER,134,1,18
2023-06-10,121,Mr. Morale & The Big Steppers,Kendrick Lamar,121,1,55
2023-06-10,122,Stoney,Post Malone,107,4,338
2023-06-10,123,Like..? (EP),Ice Spice,120,15,19
2023-06-10,124,Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,196,16,324
2023-06-10,125,The Best Of Nickelback: Volume 1,Nickelback,126,21,140
2023-06-10,126,The Fame,Lady Gaga,137,2,317
2023-06-10,127,Curtain Call 2,Eminem,-,6,39
2023-06-10,128,Luv Is Rage 2,Lil Uzi Vert,123,1,301
2023-06-10,129,SoulFly,Rod Wave,119,1,114
2023-06-10,130,Greatest Hits: The Ultimate Collection,Bon Jovi,156,5,301
2023-06-10,131,Over It,Summer Walker,125,2,191
2023-06-10,132,AM,Arctic Monkeys,136,6,253
2023-06-10,133,The Very Best Of Daryl Hall John Oates,Daryl Hall John Oates,159,34,197
2023-06-10,134,Currents,Tame Impala,152,4,110
2023-06-10,135,Clear 2: Soft Life Ep,Summer Walker,26,26,2
2023-06-10,136,Channel Orange,Frank Ocean,145,2,128
2023-06-10,137,Their Greatest Hits 1971-1975,Eagles,177,1,409
2023-06-10,138,Queen Radio: Volume 1,Nicki Minaj,128,10,37
2023-06-10,139,Stick Season,Noah Kahan,149,14,27
2023-06-10,140,Indigo,Chris Brown,139,1,161
2023-06-10,141,The Essential Billy Joel,Billy Joel,162,15,292
2023-06-10,142,"Honestly, Nevermind",Drake,143,1,50
2023-06-10,143,Swimming,Mac Miller,130,3,228
2023-06-10,144,Death Race For Love,Juice WRLD,129,1,221
2023-06-10,145,35 Biggest Hits,Toby Keith,-,2,122
2023-06-10,146,Get Rich Or Die Tryin',50 Cent,147,1,175
2023-06-10,147,Cottonwood 2,NLE Choppa,124,21,7
2023-06-10,148,Tyler Hubbard,Tyler Hubbard,114,40,16
2023-06-10,149,YHLQMDLG,Bad Bunny,138,2,170
2023-06-10,150,Stereotype,Cole Swindell,181,48,39
2023-06-10,151,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,148,1,218
2023-06-10,152,Number One Hits,Tim McGraw,184,27,238
2023-06-10,153,Greatest Hits,Fleetwood Mac,163,14,246
2023-06-10,154,Twelve Carat Toothache,Post Malone,142,2,52
