chart_week,current_week,title,performer,last_week,peak_pos,wks_at_no1,wks_on_chart
2026-09-26,1,Westside Whimsy,Jhene Aiko,-,1,1,1
2026-09-26,2,Dandelion,Ella Langley,1,1,NA,23
2026-09-26,3,you seem pretty sad for a girl so in love,Olivia Rodrigo,2,1,NA,14
2026-09-26,4,I'm The Problem,Morgan Wallen,3,1,NA,70
2026-09-26,5,The Great Divide,Noah Kahan,5,1,NA,21
2026-09-26,6,ICEMAN,Drake,9,1,NA,18
2026-09-26,7,petal,Ariana Grande,6,1,NA,7
2026-09-26,8,Don't Look Down,Rod Wave,7,1,NA,3
2026-09-26,9,The Art Of Loving,Olivia Dean,10,3,NA,51
2026-09-26,10,Stick Season,Noah Kahan,13,2,NA,199
2026-09-26,11,No Me Arrepiento de Sentir Tanto,Karol G,11,8,NA,6
2026-09-26,12,One Thing At A Time,Morgan Wallen,12,1,NA,185
2026-09-26,13,PRIMA,ADELA,4,4,NA,2
2026-09-26,14,SOS,SZA,18,1,NA,197
2026-09-26,15,Thriller,Michael Jackson,14,1,NA,736
2026-09-26,16,Number Ones,Michael Jackson,19,6,NA,255
2026-09-26,17,This & That,Stray Kids,15,1,NA,6
2026-09-26,18,Debi Tirar Mas Fotos,Bad Bunny,22,1,NA,89
2026-09-26,19,Long Way Home,Stella Lefty,20,11,NA,4
2026-09-26,20,Octane,Don Toliver,21,1,NA,33
2026-09-26,21,Dangerous: The Double Album,Morgan Wallen,23,1,NA,297
2026-09-26,22,WILD (EP),KATSEYE,16,1,NA,5
2026-09-26,23,Take Care,Drake,26,1,NA,707
2026-09-26,24,30 Number One Hits,Jason Aldean,28,19,NA,49
2026-09-26,25,The Diamond Collection,Post Malone,17,11,NA,139
2026-09-26,26,Rumours,Fleetwood Mac,25,1,NA,703
2026-09-26,27,Visitor,Sienna Spiro,27,9,NA,11
2026-09-26,28,The Life Of A Showgirl,Taylor Swift,33,1,NA,50
2026-09-26,29,Hungover,Ella Langley,31,20,NA,103
2026-09-26,30,ARIRANG,BTS,29,1,NA,26
2026-09-26,31,"You'll Be Alright, Kid",Alex Warren,34,5,NA,95
2026-09-26,32,Oh yeah?,Steve Lacy,30,14,NA,9
2026-09-26,33,Sweet Boy,Malcolm Todd,35,26,NA,37
2026-09-26,34,Graduation,Kanye West,32,1,NA,450
2026-09-26,35,Diamonds,Elton John,38,7,NA,462
2026-09-26,36,KPop Demon Hunters,Soundtrack,37,1,NA,65
2026-09-26,37,The Way I Am,Luke Combs,36,2,NA,26
2026-09-26,38,Sour,Olivia Rodrigo,42,1,NA,278
2026-09-26,39,B'Day,Beyonce,8,1,NA,76
2026-09-26,40,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,44,18,NA,816
2026-09-26,41,Greatest Hits,Queen,39,8,NA,717
2026-09-26,42,Un Verano Sin Ti,Bad Bunny,45,1,NA,228
2026-09-26,43,Short n' Sweet,Sabrina Carpenter,43,1,NA,108
2026-09-26,44,So Close To What,Tate McRae,49,1,NA,82
2026-09-26,45,"Kiss All The Time. Disco, Occasionally.",Harry Styles,84,1,NA,28
2026-09-26,46,Views,Drake,51,1,NA,540
2026-09-26,47,Teenage Dream,Katy Perry,47,1,NA,488
2026-09-26,48,Ctrl,SZA,56,3,NA,484
2026-09-26,49,The Best Of Nickelback: Volume 1,Nickelback,54,21,NA,310
2026-09-26,50,The Tortured Poets Department,Taylor Swift,60,1,NA,126
2026-09-26,51,Guts,Olivia Rodrigo,53,1,NA,158
