chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-03-11,1,Die For You,The Weeknd & Ariana Grande,6,1,31
2023-03-11,2,Flowers,Miley Cyrus,1,1,7
2023-03-11,3,Kill Bill,SZA,2,2,12
2023-03-11,4,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,3,3,4
2023-03-11,5,Last Night,Morgan Wallen,5,3,5
2023-03-11,6,Creepin',"Metro Boomin, The Weeknd & 21 Savage",4,3,13
2023-03-11,7,TQG,Karol G x Shakira,-,7,1
2023-03-11,8,Unholy,Sam Smith & Kim Petras,7,1,23
2023-03-11,9,Anti-Hero,Taylor Swift,8,1,19
2023-03-11,10,Cuff It,Beyonce,9,6,29
2023-03-11,11,I'm Good (Blue),David Guetta & Bebe Rexha,10,4,27
2023-03-11,12,Just Wanna Rock,Lil Uzi Vert,11,10,20
2023-03-11,13,Thought You Should Know,Morgan Wallen,15,12,29
2023-03-11,14,As It Was,Harry Styles,12,1,48
2023-03-11,15,Calm Down,Rema & Selena Gomez,19,15,26
2023-03-11,16,Players,Coi Leray,17,16,9
2023-03-11,17,Rock And A Hard Place,Bailey Zimmerman,16,16,38
2023-03-11,18,Under The Influence,Chris Brown,18,12,25
2023-03-11,19,Thank God,Kane Brown With Katelyn Brown,13,13,25
2023-03-11,20,Rich Flex,Drake & 21 Savage,14,2,17
2023-03-11,21,You Proof,Morgan Wallen,20,5,42
2023-03-11,22,Escapism,RAYE Featuring 070 Shake,23,22,13
2023-03-11,23,Lavender Haze,Taylor Swift,22,2,19
2023-03-11,24,"Going, Going, Gone",Luke Combs,24,23,16
2023-03-11,25,Painting Pictures,Superstar Pride,34,25,3
2023-03-11,26,Something In The Orange,Zach Bryan,26,10,45
2023-03-11,27,Until I Found You,Stephen Sanchez,31,23,35
2023-03-11,28,Sure Thing,Miguel,28,28,31
2023-03-11,29,Heart Like A Truck,Lainey Wilson,29,29,16
2023-03-11,30,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",25,8,13
2023-03-11,31,Golden Hour,JVKE,27,10,27
2023-03-11,32,Snooze,SZA,33,29,12
2023-03-11,33,Shirt,SZA,32,11,18
2023-03-11,34,Made You Look,Meghan Trainor,21,11,19
2023-03-11,35,Bad Habit,Steve Lacy,30,1,35
2023-03-11,36,The Kind Of Love We Make,Luke Combs,36,8,32
2023-03-11,37,I Like You (A Happier Song),Post Malone Featuring Doja Cat,37,3,36
2023-03-11,38,Wait For U,Future Featuring Drake & Tems,35,1,41
2023-03-11,39,Love You Anyway,Luke Combs,38,15,3
2023-03-11,40,Wait In The Truck,HARDY Featuring Lainey Wilson,41,23,26
2023-03-11,41,Bebe Dame,Fuerza Regida X Grupo Frontera,39,25,10
2023-03-11,42,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,40,9,7
2023-03-11,43,Nobody Gets Me,SZA,48,10,12
2023-03-11,44,Favorite Song,Toosii,51,44,2
2023-03-11,45,She Had Me At Heads Carolina,Cole Swindell,42,16,36
2023-03-11,46,Bloody Mary,Lady Gaga,47,46,9
2023-03-11,47,Spin Bout U,Drake & 21 Savage,57,5,17
2023-03-11,48,X Si Volvemos,Karol G x Romeo Santos,91,48,4
2023-03-11,49,Unstoppable,Sia,50,28,29
2023-03-11,50,About Damn Time,Lizzo,45,1,42
2023-03-11,51,One Thing At A Time,Morgan Wallen,60,37,13
2023-03-11,52,Dawns,Zach Bryan Featuring Maggie Rogers,43,42,5
2023-03-11,53,Special,Lizzo Featuring SZA,55,52,3
2023-03-11,54,What He Didn't Do,Carly Pearce,53,53,11
2023-03-11,55,Handle On You,Parker McCollum,58,55,9
2023-03-11,56,Watch This (ARIZONATEARS Pluggnb Remix),Lil Uzi Vert,62,56,2
2023-03-11,57,Que Vuelvas,Carin Leon X Grupo Frontera,56,50,10
2023-03-11,58,Wild As Her,Corey Kent,59,58,21
2023-03-11,59,Love Again,The Kid LAROI,54,40,5
2023-03-11,60,Ceilings,Lizzy McAlpine,75,60,2
2023-03-11,61,Freestyle,Lil Baby,64,59,22
2023-03-11,62,Heaven,Niall Horan,63,62,2
2023-03-11,63,Low,SZA,65,17,12
2023-03-11,64,I Wrote The Book,Morgan Wallen,61,38,5
2023-03-11,65,Lift Me Up,Rihanna,52,2,18
2023-03-11,66,Kant Nobody,Lil Wayne Featuring DMX,-,66,1
2023-03-11,67,Next Thing You Know,Jordan Davis,67,67,6
2023-03-11,68,Mientras Me Curo del Cora,Karol G,-,68,1
2023-03-11,69,In Ha Mood,Ice Spice,68,68,4
2023-03-11,70,Tennessee Orange,Megan Moroney,66,53,12
2023-03-11,71,Gucci Los Panos,Karol G,-,71,1
2023-03-11,72,Private Landing,Don Toliver Featuring Justin Bieber & Future,-,72,1
2023-03-11,73,Tus Gafitas,Karol G,-,73,1
2023-03-11,74,Gatubela,Karol G x Maldy,-,37,11
2023-03-11,75,Nonsense,Sabrina Carpenter,72,56,7
2023-03-11,76,Forever,Lil Baby Featuring Fridayy,81,8,8
2023-03-11,77,No More Talk,Yeat,-,77,1
2023-03-11,78,You Didn't,Brett Young,71,63,8
2023-03-11,79,Split,Yeat,-,79,1
2023-03-11,80,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",70,66,6
2023-03-11,81,10:35,Tiesto Featuring Tate McRae,73,69,6
2023-03-11,82,Cairo,Karol G & Ovy On The Drums,-,82,1
2023-03-11,83,Shmunk,Yeat Featuring YoungBoy Never Broke Again,-,83,1
2023-03-11,84,Hope,NF,49,49,2
2023-03-11,85,That's What Tequila Does,Jason Aldean,77,77,8
2023-03-11,86,Pero Tu,Karol G & Quevedo,-,86,1
2023-03-11,87,Trance,"Metro Boomin, Travis Scott & Young Thug",76,42,4
2023-03-11,88,Dirt,Key Glock,-,88,1
2023-03-11,89,Joe,Luke Combs,-,89,1
2023-03-11,90,Gold,Dierks Bentley,99,90,2
2023-03-11,91,PRC,Peso Pluma X Natanael Cano,79,73,4
2023-03-11,92,Human,Cody Johnson,85,84,7
2023-03-11,93,Everything I Love,Morgan Wallen,80,51,5
2023-03-11,94,Here With Me,d4vd,78,60,9
2023-03-11,95,Ojos Ferrari,"Karol G, Justin Quiles & Angel Dior",-,95,1
2023-03-11,96,Besties,Karol G,-,96,1
2023-03-11,97,Yandel 150,Yandel & Feid,90,90,4
2023-03-11,98,Manana Sera Bonito,Karol G & Carla Morrison,-,98,1
2023-03-11,99,The Color Violet,Tory Lanez,84,63,9
2023-03-11,100,Die 4 Me,Halsey,-,100,1
