date,title,artist,current,previous,peak,weeks
2013-12-28,"The Monster","Eminem Featuring Rihanna",1,1,1,7
2013-12-28,"Timber","Pitbull Featuring Ke$ha",2,2,2,10
2013-12-28,"Counting Stars","OneRepublic",3,3,3,26
2013-12-28,"Say Something","A Great Big World & Christina Aguilera",4,8,4,6
2013-12-28,"Royals","Lorde",5,4,1,24
2013-12-28,"Demons","Imagine Dragons",6,7,6,34
2013-12-28,"Wake Me Up!","Avicii",7,6,4,25
2013-12-28,"Wrecking Ball","Miley Cyrus",8,5,1,17
2013-12-28,"Let Her Go","Passenger",9,9,9,20
2013-12-28,"Story Of My Life","One Direction",10,11,6,7
2013-12-28,"Hold On, We're Going Home","Drake Featuring Majid Jordan",11,10,4,19
2013-12-28,"Roar","Katy Perry",12,12,1,19
2013-12-28,"Burn","Ellie Goulding",13,16,13,15
2013-12-28,"Sweater Weather","The Neighbourhood",14,15,14,27
2013-12-28,"White Walls","Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis",15,17,15,13
2013-12-28,"Do What U Want","Lady Gaga Featuring R. Kelly",16,18,13,8
2013-12-28,"Unconditionally","Katy Perry",17,14,14,8
2013-12-28,"23","Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",18,21,11,13
2013-12-28,"Stay The Night","Zedd Featuring Hayley Williams",19,20,19,13
2013-12-28,"Applause","Lady Gaga",20,19,4,18
2013-12-28,"My Hitta","YG Featuring Jeezy & Rich Homie Quan",21,23,19,11
2013-12-28,"Dark Horse","Katy Perry Featuring Juicy J",22,36,17,13
2013-12-28,"Team","Lorde",23,32,23,12
2013-12-28,"Pompeii","Bastille",24,29,24,18
2013-12-28,"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell",25,24,1,35
2013-12-28,"Marry Me","Jason Derulo",26,33,26,11
2013-12-28,"All I Want For Christmas Is You","Mariah Carey",27,26,21,6
2013-12-28,"Holy Grail","Jay Z Featuring Justin Timberlake",28,22,4,23
2013-12-28,"Stay","Florida Georgia Line",29,28,28,9
2013-12-28,"Radioactive","Imagine Dragons",30,25,3,68
2013-12-28,"Love More","Chris Brown Featuring Nicki Minaj",31,27,23,21
2013-12-28,"It Won't Stop","Sevyn Streeter Featuring Chris Brown",32,30,30,11
2013-12-28,"Brave","Sara Bareilles",33,31,26,27
2013-12-28,"Rap God","Eminem",34,39,7,9
2013-12-28,"Best Day Of My Life","American Authors",35,64,35,5
2013-12-28,"Carolina","Parmalee",36,43,36,13
2013-12-28,"Drink A Beer","Luke Bryan",37,40,37,6
2013-12-28,"Sail","AWOLNATION",38,35,17,67
2013-12-28,"Show Me","Kid Ink Featuring Chris Brown",39,48,39,6
2013-12-28,"All Me","Drake Featuring 2 Chainz & Big Sean",40,37,20,12
2013-12-28,"Confident","Justin Bieber Featuring Chance The Rapper",41,0,41,1
2013-12-28,"Drunk Last Night","Eli Young Band",42,41,41,15
2013-12-28,"Whatever She's Got","David Nail",43,46,43,11
2013-12-28,"Gas Pedal","Sage The Gemini Featuring IamSu!",44,45,29,21
2013-12-28,"Safe And Sound","Capital Cities",45,34,8,33
2013-12-28,"Wasting All These Tears","Cassadee Pope",46,52,37,15
2013-12-28,"Sweet Annie","Zac Brown Band",47,55,47,9
2013-12-28,"Chillin' It","Cole Swindell",48,54,48,9
2013-12-28,"Summertime Sadness","Lana Del Rey & Cedric Gervais",49,44,6,23
2013-12-28,"Slow Down","Selena Gomez",50,38,27,19
2013-12-28,"Little Drummer Boy","Pentatonix",51,13,13,2
2013-12-28,"All Of Me","John Legend",52,56,52,10
2013-12-28,"That's My Kind Of Night","Luke Bryan",53,50,15,18
2013-12-28,"Let It Go","Idina Menzel",54,57,54,3
2013-12-28,"Saturday","Rebecca Black & Dave Days",55,0,55,1
2013-12-28,"Animals","Martin Garrix",56,51,51,13
2013-12-28,"We Were Us","Keith Urban And Miranda Lambert",57,42,26,14
2013-12-28,"Let It Go","Demi Lovato",58,58,58,3
2013-12-28,"Don't Let Me Be Lonely","The Band Perry",59,65,59,9
2013-12-28,"When She Says Baby","Jason Aldean",60,70,60,3
2013-12-28,"TKO","Justin Timberlake",61,47,36,13
2013-12-28,"Friday Night","Eric Paslay",62,62,62,9
2013-12-28,"I Luv This Sh*t","August Alsina Featuring Trinidad James",63,61,48,15
2013-12-28,"Bridge Over Troubled Water","Tessanne Chin",64,0,64,1
2013-12-28,"Radio","Darius Rucker",65,66,65,9
2013-12-28,"Hey Brother","Avicii",66,78,66,2
2013-12-28,"Sunny And 75","Joe Nichols",67,49,39,16
2013-12-28,"HeadBand","B.o.B Featuring 2 Chainz",68,68,64,27
2013-12-28,"Replay","Zendaya",69,67,61,17
2013-12-28,"The Language","Drake",70,72,51,8
2013-12-28,"Up All Night","Jon Pardi",71,74,71,5
2013-12-28,"Love Me Again","John Newman",72,71,71,4
2013-12-28,"Compass","Lady Antebellum",73,76,65,6
2013-12-28,"Mine Would Be You","Blake Shelton",74,63,28,20
2013-12-28,"Cannonball","Lea Michele",75,0,75,1
2013-12-28,"Bound 2","Kanye West",76,60,12,4
2013-12-28,"Perfume","Britney Spears",77,79,76,3
2013-12-28,"Berzerk","Eminem",78,73,3,16
2013-12-28,"Everybody's Got Somebody But Me","Hunter Hayes Featuring Jason Mraz",79,81,77,6
2013-12-28,"Underneath The Tree","Kelly Clarkson",80,92,80,2
2013-12-28,"Honest","Future",81,77,55,14
2013-12-28,"Up Down (Do This All Day)","T-Pain Featuring B.o.B",82,87,82,4
2013-12-28,"Alone Together","Fall Out Boy",83,91,83,3
2013-12-28,"All That Matters","Justin Bieber",84,53,24,3
2013-12-28,"The Man","Aloe Blacc",85,0,85,1
2013-12-28,"See You Tonight","Scotty McCreery",86,0,86,3
2013-12-28,"Angel","Jacquie Lee",87,0,87,1
2013-12-28,"Helluva Life","Frankie Ballard",88,89,88,2
2013-12-28,"My Story","R. Kelly Featuring 2 Chainz",89,0,89,1
2013-12-28,"Bounce It","Juicy J Featuring Wale & Trey Songz",90,83,74,16
2013-12-28,"Do I Wanna Know?","Arctic Monkeys",91,99,91,2
2013-12-28,"The Fox","Ylvis",92,88,6,15
2013-12-28,"What Now","Rihanna",93,84,25,8
2013-12-28,"Best Song Ever","One Direction",94,0,2,19
2013-12-28,"Old School Love","Lupe Fiasco Featuring Ed Sheeran",95,95,95,2
2013-12-28,"Survival","Eminem",96,85,16,10
2013-12-28,"The Heart Of Dixie","Danielle Bradbery",97,0,58,3
2013-12-28,"Pound Cake / Paris Morton Music 2","Drake Featuring JAY-Z",98,94,65,10
2013-12-28,"V. 3005","Childish Gambino",99,0,99,1
2013-12-28,"Right There","Ariana Grande Featuring Big Sean",100,90,84,8
2013-12-21,"The Monster","Eminem Featuring Rihanna",1,2,1,6
