date,title,artist,current,previous,peak,weeks
2019-12-07,"Circles","Post Malone",1,1,1,13
2019-12-07,"Someone You Loved","Lewis Capaldi",2,2,1,29
2019-12-07,"Good As Hell","Lizzo",3,3,3,14
2019-12-07,"Memories","Maroon 5",4,4,4,10
2019-12-07,"Roxanne","Arizona Zervas",5,12,5,4
2019-12-07,"Lose You To Love Me","Selena Gomez",6,5,1,6
2019-12-07,"Senorita","Shawn Mendes & Camila Cabello",7,6,1,23
2019-12-07,"10,000 Hours","Dan + Shay & Justin Bieber",8,9,4,8
2019-12-07,"Truth Hurts","Lizzo",9,10,1,30
2019-12-07,"No Guidance","Chris Brown Featuring Drake",10,7,5,25
2019-12-07,"Dance Monkey","Tones And I",11,19,11,8
2019-12-07,"BOP","DaBaby",12,18,12,9
2019-12-07,"Panini","Lil Nas X",13,11,5,23
2019-12-07,"Bad Guy","Billie Eilish",14,17,1,35
2019-12-07,"HIGHEST IN THE ROOM","Travis Scott",15,14,1,8
2019-12-07,"Ballin'","Mustard Featuring Roddy Ricch",16,20,16,19
2019-12-07,"Trampoline","SHAED",17,13,13,26
2019-12-07,"All I Want For Christmas Is You","Mariah Carey",18,31,3,33
2019-12-07,"Lover","Taylor Swift",19,15,10,15
2019-12-07,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",20,27,1,39
2019-12-07,"Hot","Young Thug Featuring Gunna",21,21,11,15
2019-12-07,"One Man Band","Old Dominion",22,22,20,14
2019-12-07,"Woah","Lil Baby",23,16,16,3
2019-12-07,"Only Human","Jonas Brothers",24,24,18,24
2019-12-07,"Ran$om","Lil Tecca",25,26,4,26
2019-12-07,"everything i wanted","Billie Eilish",26,8,8,3
2019-12-07,"Beautiful People","Ed Sheeran Featuring Khalid",27,23,13,22
2019-12-07,"Even Though I'm Leaving","Luke Combs",28,25,11,13
2019-12-07,"Rockin' Around The Christmas Tree","Brenda Lee",29,0,9,28
2019-12-07,"Bandit","Juice WRLD & YoungBoy Never Broke Again",30,28,10,8
2019-12-07,"On Chill","Wale Featuring Jeremih",31,29,22,16
2019-12-07,"Heartless","The Weeknd",32,0,32,1
2019-12-07,"Vete","Bad Bunny",33,0,33,1
2019-12-07,"Graveyard","Halsey",34,39,34,11
2019-12-07,"I Don't Care","Ed Sheeran & Justin Bieber",35,30,2,29
2019-12-07,"Talk","Khalid",36,32,3,42
2019-12-07,"Don't Start Now","Dua Lipa",37,42,30,4
2019-12-07,"Heat","Chris Brown Featuring Gunna",38,37,36,13
2019-12-07,"Baby","Lil Baby & DaBaby",39,34,21,19
2019-12-07,"How Do You Sleep?","Sam Smith",40,35,24,19
2019-12-07,"Goodbyes","Post Malone Featuring Young Thug",41,33,3,21
2019-12-07,"Falling","Trevor Daniel",42,75,42,2
2019-12-07,"Playing Games","Summer Walker",43,36,16,13
2019-12-07,"Suge","DaBaby",44,40,7,35
2019-12-07,"Hot Girl Bummer","blackbear",45,41,41,11
2019-12-07,"Last Christmas","Wham!",46,0,25,10
2019-12-07,"Jingle Bell Rock","Bobby Helms",47,0,8,26
2019-12-07,"A Holly Jolly Christmas","Burl Ives",48,0,10,11
2019-12-07,"It's The Most Wonderful Time Of The Year","Andy Williams",49,0,10,11
2019-12-07,"Take What You Want","Post Malone Featuring Ozzy Osbourne & Travis Scott",50,57,8,12
2019-12-07,"Juicy","Doja Cat & Tyga",51,51,47,5
2019-12-07,"One Thing Right","Marshmello & Kane Brown",52,45,36,23
2019-12-07,"The Bones","Maren Morris",53,50,48,10
2019-12-07,"Time","NF",54,43,41,19
2019-12-07,"Into The Unknown","Idina Menzel & AURORA",55,0,55,1
2019-12-07,"Heart On Ice","Rod Wave",56,54,54,3
2019-12-07,"223's","YNW Melly & 9lokknine",57,56,34,12
2019-12-07,"Who Needs Love","Trippie Redd",58,0,58,1
2019-12-07,"Death","Trippie Redd Featuring DaBaby",59,97,59,2
2019-12-07,"6 Kiss","Trippie Redd Featuring Juice WRLD & YNW Melly",60,0,60,1
2019-12-07,"What If I Never Get Over You","Lady Antebellum",61,47,47,14
2019-12-07,"Remember You Young","Thomas Rhett",62,53,53,11
2019-12-07,"Loyal","PARTYNEXTDOOR Featuring Drake",63,0,63,1
2019-12-07,"Suicidal","YNW Melly",64,0,64,1
2019-12-07,"Camelot","NLE Choppa",65,58,37,11
2019-12-07,"VIBEZ","DaBaby",66,59,21,9
2019-12-07,"Leave Em Alone","Layton Greene, Lil Baby, City Girls & PnB Rock",67,63,60,8
2019-12-07,"We Were","Keith Urban",68,65,65,13
2019-12-07,"Prayed For You","Matt Stell",69,61,36,17
2019-12-07,"Kinfolks","Sam Hunt",70,62,62,7
2019-12-07,"Enemies","Post Malone Featuring DaBaby",71,68,16,12
2019-12-07,"Ridin' Roads","Dustin Lynch",72,70,70,4
2019-12-07,"Hate Me","Ellie Goulding & Juice WRLD",73,69,56,16
2019-12-07,"Heartache Medication","Jon Pardi",74,67,67,9
2019-12-07,"Baby Sitter","DaBaby Featuring Offset",75,64,59,16
2019-12-07,"All The Good Girls Go To Hell","Billie Eilish",76,76,46,6
2019-12-07,"Watermelon Sugar","Harry Styles",77,60,60,2
2019-12-07,"We Back","Jason Aldean",78,93,78,2
2019-12-07,"Follow God","Kanye West",79,52,7,5
2019-12-07,"Jerry Sprunger","Tory Lanez & T-Pain",80,44,44,3
2019-12-07,"Love Me More","Trippie Redd",81,0,79,2
2019-12-07,"Nice To Meet Ya","Niall Horan",82,71,63,7
2019-12-07,"Lalala","Y2K & bbno$",83,91,55,21
2019-12-07,"Hate Me","Trippie Redd Featuring YoungBoy Never Broke Again",84,0,84,1
2019-12-07,"Reply","A Boogie Wit da Hoodie Featuring Lil Uzi Vert",85,49,49,2
2019-12-07,"Tip Of My Tongue","Kenny Chesney",86,74,73,20
2019-12-07,"Candy","Doja Cat",87,0,87,1
2019-12-07,"Slow Dancing In The Dark","Joji",88,85,69,8
2019-12-07,"None Of Your Concern","Jhene Aiko Featuring Big Sean",89,55,55,2
2019-12-07,"Yellow Hearts","Ant Saunders",90,98,81,3
2019-12-07,"Make No Sense","YoungBoy Never Broke Again",91,78,57,7
2019-12-07,"Good Vibes","Chris Janson",92,84,48,13
2019-12-07,"La Cancion","J Balvin & Bad Bunny",93,86,84,7
2019-12-07,"Easy","DaniLeigh Featuring Chris Brown",94,88,88,4
2019-12-07,"Cuban Links","Rod Wave & Kevin Gates",95,0,95,1
2019-12-07,"Hot Girl Summer","Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",96,79,11,16
2019-12-07,"Lonely Child","YoungBoy Never Broke Again",97,81,44,7
2019-12-07,"Into The Unknown","Panic! At The Disco",98,0,98,1
2019-12-07,"Show Yourself","Idina Menzel & Evan Rachel Wood",99,0,99,1
2019-12-07,"Homesick","Kane Brown",100,95,95,2
2019-12-28,"All I Want For Christmas Is You","Mariah Carey",1,1,1,36
2019-12-28,"Rockin' Around The Christmas Tree","Brenda Lee",2,3,2,31
2019-12-28,"Circles","Post Malone",3,2,1,16
2019-12-28,"Roxanne","Arizona Zervas",4,6,4,7
2019-12-28,"Futsal Shuffle 2020","Lil Uzi Vert",5,0,5,1
2019-12-28,"A Holly Jolly Christmas","Burl Ives",6,10,6,14
2019-12-28,"Memories","Maroon 5",7,7,4,13
2019-12-28,"Someone You Loved","Lewis Capaldi",8,4,1,32
2019-12-28,"Jingle Bell Rock","Bobby Helms",9,15,8,29
2019-12-28,"Good As Hell","Lizzo",10,5,3,17
2019-12-28,"Dance Monkey","Tones And I",11,9,9,11
2019-12-28,"Lose You To Love Me","Selena Gomez",12,13,1,9
2019-12-28,"10,000 Hours","Dan + Shay & Justin Bieber",13,14,4,11
2019-12-28,"Ballin'","Mustard Featuring Roddy Ricch",14,18,14,22
2019-12-28,"It's The Most Wonderful Time Of The Year","Andy Williams",15,20,10,14
2019-12-28,"BOP","DaBaby",16,11,11,12
2019-12-28,"Last Christmas","Wham!",17,26,17,13
2019-12-28,"The Box","Roddy Ricch",18,47,18,2
2019-12-28,"Bandit","Juice WRLD & YoungBoy Never Broke Again",19,12,10,11
2019-12-28,"No Guidance","Chris Brown Featuring Drake",20,19,5,28
2019-12-28,"Senorita","Shawn Mendes & Camila Cabello",21,16,1,26
2019-12-28,"Lucid Dreams","Juice WRLD",22,8,2,48
2019-12-28,"Feliz Navidad","Jose Feliciano",23,34,23,8
2019-12-28,"Adore You","Harry Styles",24,35,24,2
2019-12-28,"Bad Guy","Billie Eilish",25,21,1,38
2019-12-28,"Heartless","The Weeknd",26,17,1,4
2019-12-28,"HIGHEST IN THE ROOM","Travis Scott",27,25,1,11
2019-12-28,"Let It Snow, Let It Snow, Let It Snow","Dean Martin",28,24,20,7
2019-12-28,"Panini","Lil Nas X",29,22,5,26
2019-12-28,"The Christmas Song (Merry Christmas To You)","Nat King Cole",30,32,11,20
2019-12-28,"Hot","Young Thug Featuring Gunna",31,33,11,18
2019-12-28,"Truth Hurts","Lizzo",32,23,1,33
2019-12-28,"Trampoline","SHAED",33,27,13,29
2019-12-28,"everything i wanted","Billie Eilish",34,30,8,6
2019-12-28,"Woah","Lil Baby",35,28,16,6
2019-12-28,"Rudolph The Red-Nosed Reindeer","Gene Autry",36,38,16,7
2019-12-28,"Sleigh Ride","The Ronettes",37,37,26,6
2019-12-28,"Falling","Trevor Daniel",38,36,36,5
2019-12-28,"Ran$om","Lil Tecca",39,31,4,29
2019-12-28,"Happy Holiday / The Holiday Season","Andy Williams",40,43,40,3
2019-12-28,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",41,39,1,42
